	acura	alpina	aston-martin	audi	bentley	bmw	bugatti	buick	cadillac	chevrolet	chrysler	dodge	ferrari	ford	gmc	honda	hummer	hyundai	infiniti	jaguar	jeep	kia	koenigsegg	lamborghini	land-rover	lexus	lincoln	lotus	maserati	maybach	mazda	mercedes-benz	mercury	mini	mitsubishi	nissan	pagani	pontiac	porsche	rolls-royce	saab	saturn	scion	smart	ssc	subaru	suzuki	tesla	toyota	volkswagen	volvo	zenvo
acura	0	8	6	6	6	6	6	4	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
alpina	8	0	6	8	6	8	8	8	8	8	8	8	8	8	8	8	8	8	8	6	8	8	8	8	6	8	8	6	8	8	8	8	8	6	8	8	8	8	8	6	8	8	8	8	8	8	8	8	8	8	8	6	
aston-martin	6	6	0	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	8	
audi	6	8	6	0	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	4	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	8	
bentley	6	6	4	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	8	
bmw	6	8	6	4	6	0	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	6	4	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	8	
bugatti	6	8	6	6	6	6	0	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	4	6	6	6	6	4	6	6	6	6	6	6	6	4	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	
buick	4	8	6	6	6	6	6	0	4	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
cadillac	4	8	6	6	6	6	6	4	0	4	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
chevrolet	4	8	6	6	6	6	6	4	4	0	4	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
chrysler	4	8	6	6	6	6	6	4	4	4	0	4	6	4	4	6	4	6	6	6	4	6	6	6	6	6	4	6	6	6	6	6	4	6	6	6	6	4	6	6	6	4	6	6	4	6	6	4	6	6	6	8	
