	Casablanca	CityofGod	FightClub	ForrestGump	Gladiator	Goodfellas	Inception	Interstellar	LifeisBeautiful	PulpFiction	SavingPrivateRyan	Schindler'sList	Se7en	SpiritedAway	StarWars:EpisodeV-TheEmpireStrikesBack	TheDarkKnight	TheGodfather	TheGreenMile	TheLordoftheRings:TheFellowshipoftheRing	TheLordoftheRings:TheReturnoftheKing	TheMatrix	ThePianist	TheShawshankRedemption	TheSilenceoftheLambs	TheUsualSuspects
Casablanca	0	11	8	7	8	10	12	10	10	9	7	10	10	14	12	10	9	10	12	12	11	10	8	10	10	
CityofGod	11	0	9	10	11	9	13	9	9	8	8	11	7	11	13	9	8	7	11	11	12	9	9	7	11	
FightClub	8	9	0	5	8	8	8	8	10	7	7	8	8	12	10	8	7	6	8	10	7	10	6	8	10	
ForrestGump	7	10	5	0	9	9	9	9	9	6	8	9	9	13	11	9	8	9	9	11	10	11	5	9	11	
Gladiator	8	11	8	9	0	10	8	8	12	9	9	10	10	12	8	8	9	10	10	10	9	10	8	10	10	
Goodfellas	10	9	8	9	10	0	12	10	12	7	9	8	8	14	10	8	7	8	12	12	9	10	8	8	10	
Inception	12	13	8	9	8	12	0	8	14	11	11	12	12	12	8	10	11	12	10	12	7	14	10	12	12	
Interstellar	10	9	8	9	8	10	8	0	10	9	7	10	8	10	10	10	9	8	10	10	9	12	8	8	12	
LifeisBeautiful	10	9	10	9	12	12	14	10	0	11	9	12	10	12	14	12	11	10	12	12	13	12	10	10	14	
PulpFiction	9	8	7	6	9	7	11	9	11	0	8	7	7	13	11	7	6	7	11	9	10	11	5	7	9	
SavingPrivateRyan	7	8	7	8	9	9	11	7	9	8	0	9	7	11	11	9	8	7	11	11	10	11	7	7	11	
Schindler'sList	10	11	8	9	10	8	12	10	12	7	9	0	10	14	12	10	9	10	12	10	11	10	8	10	12	
Se7en	10	7	8	9	10	8	12	8	10	7	7	10	0	12	12	8	7	6	12	12	11	12	8	6	6	
SpiritedAway	14	11	12	13	12	14	12	10	12	13	11	14	12	0	12	14	13	12	10	12	13	14	12	12	14	
StarWars:EpisodeV-TheEmpireStrikesBack	12	13	10	11	8	10	8	10	14	11	11	12	12	12	0	10	11	10	10	10	7	14	10	12	12	
TheDarkKnight	10	9	8	9	8	8	10	10	12	7	9	10	8	14	10	0	7	8	12	12	9	12	8	8	10	
TheGodfather	9	8	7	8	9	7	11	9	11	6	8	9	7	13	11	7	0	7	11	11	10	11	7	7	9	
TheGreenMile	10	7	6	9	10	8	12	8	10	7	7	10	6	12	10	8	7	0	10	10	9	12	8	6	10	
TheLordoftheRings:TheFellowshipoftheRing	12	11	8	9	10	12	10	10	12	11	11	12	12	10	10	12	11	10	0	6	13	12	10	12	14	
TheLordoftheRings:TheReturnoftheKing	12	11	10	11	10	12	12	10	12	9	11	10	12	12	10	12	11	10	6	0	13	12	10	12	14	
TheMatrix	11	12	7	10	9	9	7	9	13	10	10	11	11	13	7	9	10	9	13	13	0	13	9	11	11	
ThePianist	10	9	10	11	10	10	14	12	12	11	11	10	12	14	14	12	11	12	12	12	13	0	10	12	12	
TheShawshankRedemption	8	9	6	5	8	8	10	8	10	5	7	8	8	12	10	8	7	8	10	10	9	10	0	8	10	
TheSilenceoftheLambs	10	7	8	9	10	8	12	8	10	7	7	10	6	12	12	8	7	6	12	12	11	12	8	0	8	
TheUsualSuspects	10	11	10	11	10	10	12	12	14	9	11	12	6	14	12	10	9	10	14	14	11	12	10	8	0	
