EUR,USD,,Composite(NY),New York 10:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,16,0.7,16.3,0.879,16.05,0.879
2D,14.599,0.49,14.722,0.616,14.659,0.616
5D,11.078,0.302,11.195,0.379,11.142,0.379
6D,11.43,0.273,11.609,0.342,11.513,0.342
1W,11.675,0.25,11.925,0.314,11.775,0.314
8D,11.936,0.276,12.06,0.347,12.127,0.347
9D,12.134,0.3,12.162,0.377,12.389,0.377
12D,11.289,0.363,11.236,0.456,11.568,0.456
13D,11.485,0.382,11.373,0.48,11.797,0.48
2W,11.65,0.4,11.488,0.502,11.988,0.502
15D,11.859,0.437,11.754,0.549,12.264,0.549
16D,12.039,0.473,11.979,0.594,12.502,0.594
19D,11.584,0.57,11.561,0.715,12.076,0.715
20D,11.746,0.599,11.747,0.753,12.281,0.753
3W,11.89,0.628,11.909,0.789,12.465,0.789
22D,11.993,0.571,11.966,0.717,12.568,0.717
23D,12.086,0.517,12.017,0.65,12.662,0.65
25D,11.725,0.37,11.617,0.465,12.281,0.465
27D,11.816,0.325,11.673,0.408,12.374,0.408
28D,11.9,0.282,11.724,0.354,12.459,0.354
1M,12.05,0.2,11.812,0.251,12.612,0.251
33D,11.812,0.177,11.579,0.223,12.394,0.223
34D,11.918,0.17,11.683,0.214,12.531,0.214
35D,12.018,0.164,11.78,0.205,12.658,0.205
36D,12.111,0.157,11.869,0.197,12.778,0.197
45D,12.229,0.116,11.968,0.146,12.987,0.146
55D,12.268,0.062,11.969,0.077,13.116,0.077
2M,12.425,0.05,12.106,0.063,13.306,0.063
65D,12.426,0.071,12.104,0.09,13.36,0.09
75D,12.39,0.106,12.049,0.134,13.392,0.134
85D,12.531,0.134,12.151,0.169,13.606,0.169
3M,12.525,0.15,12.125,0.188,13.625,0.188
95D,12.609,0.169,12.212,0.212,13.728,0.212
105D,12.68,0.275,12.283,0.345,13.846,0.345
115D,12.775,0.34,12.365,0.426,13.975,0.426
4M,12.827,0.393,12.401,0.493,14.05,0.493
125D,12.82,0.393,12.399,0.494,14.05,0.493
135D,12.921,0.394,12.499,0.495,14.176,0.495
145D,12.925,0.396,12.497,0.497,14.195,0.497
5M,12.962,0.397,12.524,0.498,14.245,0.498
155D,13.014,0.381,12.578,0.478,14.31,0.478
165D,13.037,0.34,12.6,0.426,14.351,0.426
175D,13.018,0.282,12.57,0.354,14.347,0.354
6M,13.025,0.25,12.562,0.314,14.362,0.314
185D,13.044,0.249,12.584,0.313,14.389,0.313
205D,13.124,0.235,12.69,0.295,14.547,0.295
7M,13.146,0.231,12.717,0.29,14.592,0.29
225D,13.203,0.222,12.774,0.279,14.693,0.279
8M,13.215,0.213,12.781,0.268,14.741,0.268
265D,13.262,0.204,12.811,0.256,14.831,0.256
9M,13.3,0.2,12.837,0.251,14.887,0.251
285D,13.297,0.207,12.834,0.259,14.891,0.259
10M,13.372,0.217,12.898,0.272,14.986,0.272
325D,13.401,0.228,12.907,0.286,15.025,0.286
11M,13.405,0.234,12.898,0.294,15.033,0.294
345D,13.435,0.239,12.915,0.3,15.07,0.3
360D,13.456,0.246,12.914,0.309,15.097,0.309
1Y,13.475,0.25,12.919,0.314,15.119,0.314
