USD,JPY,,Composite(NY),New York 10:00,,
,ATM,,25D Call USD,,25D Put USD,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,7.127,3.054,9.611,3.854,8.611,3.883
4D,6.658,2.314,8.318,2.915,7.485,2.935
5D,6.36,1.774,7.516,2.231,6.787,2.245
6D,6.153,1.35,6.972,1.695,6.317,1.705
1W,6,1,6.584,1.254,5.983,1.261
8D,5.455,0.985,5.945,1.235,5.413,1.243
11D,5.55,0.987,6.042,1.237,5.514,1.245
12D,5.629,0.99,6.14,1.24,5.618,1.249
13D,5.695,0.994,6.237,1.246,5.726,1.255
2W,5.75,1,6.335,1.253,5.835,1.263
15D,5.653,0.895,6.216,1.121,5.755,1.13
18D,5.851,0.866,6.432,1.084,5.975,1.094
19D,6.023,0.839,6.625,1.05,6.168,1.06
20D,6.174,0.814,6.799,1.018,6.339,1.028
3W,6.306,0.791,6.956,0.989,6.493,0.999
22D,6.208,0.615,6.81,0.768,6.377,0.776
25D,6.346,0.561,6.934,0.701,6.508,0.709
26D,6.47,0.51,7.048,0.637,6.628,0.645
27D,6.583,0.462,7.153,0.576,6.737,0.583
28D,6.686,0.415,7.252,0.517,6.838,0.524
29D,6.578,0.284,7.123,0.354,6.724,0.359
1M,6.752,0.204,7.298,0.254,6.898,0.258
35D,6.943,0.207,7.473,0.257,7.109,0.261
36D,6.859,0.211,7.369,0.262,7.03,0.266
37D,6.942,0.212,7.446,0.264,7.121,0.268
38D,7.019,0.213,7.519,0.266,7.206,0.27
39D,7.092,0.215,7.588,0.267,7.286,0.271
45D,7.2,0.223,7.674,0.277,7.414,0.282
55D,7.379,0.233,7.835,0.29,7.614,0.295
2M,7.471,0.242,7.918,0.3,7.718,0.307
65D,7.503,0.293,7.937,0.364,7.781,0.372
75D,7.681,0.377,8.099,0.467,8.019,0.478
85D,7.736,0.469,8.136,0.581,8.112,0.596
3M,7.85,0.5,8.248,0.619,8.248,0.635
95D,7.962,0.477,8.363,0.59,8.373,0.606
105D,8.099,0.453,8.505,0.559,8.525,0.576
108D,8.144,0.437,8.553,0.539,8.577,0.555
115D,8.287,0.413,8.701,0.509,8.733,0.525
4M,8.35,0.396,8.766,0.488,8.802,0.504
125D,8.43,0.396,8.849,0.488,8.889,0.504
135D,8.603,0.395,9.026,0.487,9.081,0.504
145D,8.769,0.396,9.199,0.487,9.262,0.505
5M,8.859,0.396,9.292,0.487,9.361,0.506
155D,8.86,0.389,9.293,0.478,9.366,0.496
160D,8.935,0.383,9.372,0.471,9.451,0.49
165D,9.004,0.372,9.445,0.456,9.532,0.475
175D,9.089,0.359,9.534,0.44,9.63,0.459
6M,9.125,0.35,9.574,0.429,9.674,0.448
185D,9.203,0.33,9.646,0.404,9.766,0.423
205D,9.457,0.269,9.884,0.329,10.063,0.345
7M,9.561,0.247,9.984,0.301,10.183,0.317
225D,9.662,0.215,10.077,0.262,10.302,0.276
8M,9.848,0.172,10.256,0.21,10.515,0.221
265D,10.005,0.124,10.407,0.15,10.698,0.159
9M,10.05,0.1,10.448,0.121,10.751,0.129
285D,10.164,0.124,10.554,0.151,10.89,0.16
10M,10.32,0.173,10.696,0.21,11.084,0.223
325D,10.44,0.217,10.806,0.262,11.235,0.28
11M,10.495,0.234,10.857,0.282,11.303,0.302
345D,10.545,0.259,10.902,0.312,11.368,0.334
360D,10.629,0.288,10.98,0.347,11.471,0.373
1Y,10.65,0.3,10.999,0.361,11.499,0.388
