EUR,GBP,,Composite(NY),New York 10:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,9.4,0.9,8.867,1.129,10.367,1.132
1W,7.775,0.05,7.538,0.063,8.538,0.063
1M,9.3,0.2,8.849,0.249,10.574,0.253
2M,9.975,0.35,9.475,0.433,11.375,0.445
3M,10.549,0.001,10.043,0.001,12.193,0.001
6M,11.425,0.05,10.995,0.061,13.22,0.064
1Y,11.925,0.05,11.457,0.06,13.657,0.065
,,,,,,
EUR,GBP,,Composite(NY),Warsaw 11:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,8.674,0.9,8.215,1.129,9.496,1.132
1W,7.588,0.062,7.331,0.078,8.306,0.078
1M,9.252,0.211,8.806,0.262,10.511,0.267
2M,9.943,0.348,9.445,0.431,11.336,0.443
3M,10.525,0.003,10.021,0.004,12.158,0.004
6M,11.414,0.052,10.984,0.064,13.205,0.067
1Y,11.919,0.05,11.451,0.06,13.651,0.065
,,,,,,
EUR,GBP,,Composite(NY),Wellington 17:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,8.019,0.9,7.624,1.13,8.721,1.132
1W,7.429,0.072,7.154,0.09,8.108,0.091
1M,9.212,0.219,8.77,0.273,10.459,0.278
2M,9.916,0.347,9.42,0.429,11.304,0.441
3M,10.505,0.006,10.002,0.007,12.129,0.007
6M,11.404,0.054,10.974,0.066,13.192,0.07
1Y,11.914,0.05,11.446,0.06,13.645,0.065
,,,,,,
EUR,GBP,,Composite(NY),Tokyo 15:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,8.287,0.9,7.866,1.13,9.037,1.132
1W,7.493,0.068,7.225,0.085,8.188,0.086
1M,9.228,0.216,8.785,0.269,10.48,0.273
2M,9.927,0.348,9.43,0.43,11.317,0.442
3M,10.513,0.005,10.009,0.006,12.141,0.006
6M,11.408,0.054,10.978,0.065,13.197,0.069
1Y,11.916,0.05,11.448,0.06,13.648,0.065
,,,,,,
EUR,GBP,,Composite(NY),London 12:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,9.044,0.9,8.548,1.129,9.939,1.132
1W,7.682,0.056,7.435,0.07,8.422,0.071
1M,9.276,0.205,8.828,0.255,10.543,0.26
2M,9.959,0.349,9.46,0.432,11.356,0.444
3M,10.537,0.002,10.032,0.003,12.176,0.003
6M,11.419,0.051,10.989,0.062,13.212,0.066
1Y,11.922,0.05,11.454,0.06,13.654,0.065
,,,,,,
EUR,GBP,,Composite(NY),Sao Paulo 18:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,10.252,0.873,9.416,1.095,11.061,1.099
1W,8.02,0.057,7.761,0.071,8.8,0.072
1M,9.359,0.202,8.905,0.251,10.646,0.256
2M,10.006,0.347,9.505,0.43,11.41,0.442
3M,10.573,0.004,10.066,0.005,12.217,0.005
6M,11.436,0.05,11.005,0.061,13.232,0.064
1Y,11.93,0.051,11.462,0.061,13.663,0.066
,,,,,,
EUR,GBP,,Composite(NY),Frankfurt 14:30,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,9.224,0.9,8.709,1.129,10.154,1.132
1W,7.729,0.053,7.486,0.066,8.48,0.067
1M,9.288,0.203,8.839,0.252,10.559,0.257
2M,9.967,0.35,9.468,0.433,11.365,0.445
3M,10.543,0.002,10.037,0.002,12.184,0.002
6M,11.422,0.051,10.992,0.062,13.216,0.065
1Y,11.924,0.05,11.456,0.06,13.655,0.065
