EUR,USD,,Composite(NY),New York 10:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,16,3,15.698,3.767,16.698,3.786
1W,14.175,0.85,13.894,1.061,14.894,1.074
1M,15.525,0.25,14.306,0.309,17.356,0.319
2M,16.075,0.25,14.718,0.307,18.218,0.321
3M,16.15,0.1,14.699,0.122,18.499,0.129
6M,16.33,0.06,14.793,0.072,18.967,0.078
1Y,16.48,0.16,14.955,0.189,19.205,0.211
,,,,,,
EUR,USD,,Composite(NY),Warsaw 11:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,14.782,3,14.518,3.769,15.374,3.787
1W,13.822,0.862,13.548,1.076,14.497,1.089
1M,15.445,0.257,14.239,0.318,17.262,0.327
2M,16.025,0.249,14.673,0.307,18.161,0.32
3M,16.119,0.101,14.671,0.123,18.462,0.13
6M,16.314,0.062,14.78,0.075,18.945,0.081
1Y,16.472,0.16,14.949,0.189,19.197,0.211
,,,,,,
EUR,USD,,Composite(NY),Wellington 17:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,13.684,3,13.454,3.772,14.188,3.788
1W,13.522,0.872,13.254,1.088,14.16,1.101
1M,15.377,0.262,14.183,0.325,17.182,0.334
2M,15.984,0.249,14.635,0.306,18.113,0.319
3M,16.094,0.102,14.648,0.124,18.432,0.131
6M,16.301,0.064,14.769,0.077,18.927,0.084
1Y,16.466,0.161,14.943,0.19,19.19,0.212
,,,,,,
EUR,USD,,Composite(NY),Tokyo 15:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,14.134,3,13.89,3.771,14.672,3.788
1W,13.643,0.868,13.372,1.083,14.296,1.096
1M,15.404,0.26,14.206,0.322,17.214,0.331
2M,16,0.249,14.65,0.306,18.133,0.32
3M,16.104,0.101,14.658,0.124,18.444,0.131
6M,16.306,0.063,14.773,0.077,18.934,0.083
1Y,16.469,0.16,14.945,0.19,19.193,0.211
,,,,,,
EUR,USD,,Composite(NY),London 12:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,15.403,3,15.12,3.768,16.048,3.786
1W,14,0.856,13.722,1.068,14.697,1.082
1M,15.485,0.253,14.273,0.314,17.309,0.323
2M,16.05,0.25,14.695,0.307,18.19,0.32
3M,16.135,0.1,14.685,0.123,18.48,0.13
6M,16.322,0.061,14.786,0.074,18.956,0.08
1Y,16.476,0.16,14.952,0.189,19.201,0.211
,,,,,,
EUR,USD,,Composite(NY),Sao Paulo 18:00,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,17.706,2.974,17.365,3.731,18.506,3.752
1W,14.522,0.846,14.198,1.055,15.302,1.069
1M,15.61,0.251,14.382,0.31,17.458,0.32
2M,16.113,0.249,14.749,0.306,18.271,0.32
3M,16.176,0.102,14.72,0.125,18.536,0.132
6M,16.343,0.061,14.806,0.073,18.984,0.079
1Y,16.486,0.16,14.96,0.189,19.212,0.211
,,,,,,
EUR,USD,,Composite(NY),Frankfurt 14:30,,
,ATM,,25D Call EUR,,25D Put EUR,
,Mid,Spread,Mid,Spread,Mid,Spread
1D,15.704,3,15.412,3.767,16.376,3.786
1W,14.088,0.853,13.808,1.064,14.795,1.078
1M,15.505,0.252,14.29,0.312,17.333,0.321
2M,16.063,0.25,14.707,0.307,18.204,0.321
3M,16.142,0.1,14.692,0.123,18.489,0.129
6M,16.326,0.061,14.789,0.073,18.962,0.079
1Y,16.478,0.16,14.953,0.189,19.203,0.211
