BT-1;ExchangedDocument.ID._
BT-22;ExchangedDocument.IncludedNote.[0].Content
BT-21;ExchangedDocument.IncludedNote.[0].SubjectCode._
BT-2;ExchangedDocument.IssueDateTime.DateTimeString._
BT-2-0;ExchangedDocument.IssueDateTime.DateTimeString.format
BT-3;ExchangedDocument.TypeCode
BT-24;ExchangedDocumentContext.GuidelineSpecifiedDocumentContextParameter.ID._
BT-13;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerOrderReferencedDocument.IssuerAssignedID._
BT-56;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.DefinedTradeContact.PersonName
BT-46;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.ID.[0]._
BT-44;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.Name
BT-52;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.PostalTradeAddress.CityName
BT-55;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.PostalTradeAddress.CountryID
BT-50;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.PostalTradeAddress.LineOne
BT-163;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.PostalTradeAddress.LineThree
BT-51;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.PostalTradeAddress.LineTwo
BT-53;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.PostalTradeAddress.PostcodeCode._
BT-30;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.SpecifiedLegalOrganization.ID._
BT-30-1;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.SpecifiedLegalOrganization.ID.schemeID
BT-48;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.SpecifiedTaxRegistration.[0].ID._
BT-48-0;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.BuyerTradeParty.SpecifiedTaxRegistration.[0].ID.schemeID
BT-12;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.ContractReferencedDocument.IssuerAssignedID._
BT-41-0;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.DefinedTradeContact.DepartmentName
BT-41;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.DefinedTradeContact.PersonName
BT-42;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.DefinedTradeContact.TelephoneUniversalCommunication.CompleteNumber
BT-29;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.ID.[0]._
BT-27;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.Name
BT-37;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.PostalTradeAddress.CityName
BT-40;SupplyChainTradeTransaction.ApplicableHeaderTradeAgreement.SellerTradeParty.PostalTradeAddress.CountryID
