Elizabeth II (1926 - )	1926	2017	
George VI (1895 - 1952)	1895	1952
Edward VIII (1894 - 1972)	1894	1972
George V (1865 - 1936)	1865	1936
Edward VII (1841 - 1910)	1841	1910
Victoria (1819 - 1901)	1819	1901
William IV (1765 -1837)	1765	1837
George IV (1762 - 1830)	1762	1830
George III (1738 - 1820)	1738	1820
George II (1683 - 1760)	1683	1760
George I (1660 - 1727)	1660	1727
Anne (1665 - 1714)	1665	1714
William II (1650 - 1702)	1650	1702
Mary II (1662 - 1694)	1662	1694
James II (1633 - 1701)	1663	1701
Charles II (1630 - 1685)	1630	1685
Charles I (1600 - 1649)	1600	1649
James I (1566 - 1625)	1566	1625
