Siebel Enterprise Applications Siebel Server Manager, Version 8.1.1.7 [21238] LANG_INDEPENDENT 
Copyright (c) 1990-2008, Oracle. All rights reserved.

The Programs (which include both the software and documentation) contain
proprietary information; they are provided under a license agreement containing
restrictions on use and disclosure and are also protected by copyright, patent,
and other intellectual and industrial property laws. Reverse engineering,
disassembly, or decompilation of the Programs, except to the extent required to
obtain interoperability with other independently created software or as specified
by law, is prohibited.

Oracle, JD Edwards, PeopleSoft, and Siebel are registered trademarks of
Oracle Corporation and/or its affiliates. Other names may be trademarks
of their respective owners.

If you have received this software in error, please notify Oracle Corporation
immediately at 1.800.ORACLE1.

Type "help" for list of commands, "help <topic>" for detailed help

Connected to 3 server(s) out of a total of 3 server(s) in the enterprise

srvrmgr> load preferences
File: /foo_22/siebel/81/siebsrvr/bin/.Siebel_svrmgr.pref

srvrmgr> list comp types

CT_NAME                                                                       CT_RUNMODE                       CT_ALIAS                                                       CT_DESC_TEXT                                                                                                                                                                                                                                                 
----------------------------------------------------------------------------  -------------------------------  -------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------  
ABO Bulk Request GoToView Svc                                                 Batch                            ABO Bulk Request GoToView Svc                                  ABO Bulk Request GoToView Svc Service                                                                                                                                                                                                                        
ABO Bulk Request GoToView Svc                                                 Background                       ABO Bulk Request GoToView Svc                                  ABO Bulk Request GoToView Svc Service                                                                                                                                                                                                                        
ABO Bulk Request Import Service                                               Batch                            ABO Bulk Request Import Service                                ABO Bulk Request Import Service Service                                                                                                                                                                                                                      
ABO Bulk Request Import Service                                               Background                       ABO Bulk Request Import Service                                ABO Bulk Request Import Service Service                                                                                                                                                                                                                      
ABO Bulk Request Processing Service                                           Batch                            ABO Bulk Request Processing Service                            ABO Bulk Request Processing Service Service                                                                                                                                                                                                                  
ABO Bulk Request Processing Service                                           Background                       ABO Bulk Request Processing Service                            ABO Bulk Request Processing Service Service                                                                                                                                                                                                                  
ABO Bulk Request Validation Service                                           Batch                            ABO Bulk Request Validation Service                            ABO Bulk Request Validation Service Service                                                                                                                                                                                                                  
ABO Bulk Request Validation Service                                           Background                       ABO Bulk Request Validation Service                            ABO Bulk Request Validation Service Service                                                                                                                                                                                                                  
ADM Service                                                                   Batch                            ADM Service                                                    ADM Service Service                                                                                                                                                                                                                                          
