dayhour,state,rank,cnt
2011-05-19 13,中国,10,30010
2011-05-19 05,中国,10,30010
2011-05-19 06,中国,10,30010
2011-05-19 15,中国,10,30003
2011-05-19 23,中国,10,7506
2011-05-19 07,中国,10,30010
2011-05-19 14,中国,10,30009
2011-05-19 21,中国,10,1691
2011-05-19 10,中国,10,30009
2011-05-19 16,中国,10,30009
2011-05-19 08,中国,77,4826
2011-05-19 17,中国,10,14651
2011-05-19 09,中国,10,30026
2011-05-19 18,中国,10,17335
2011-05-19 22,中国,10,1674
2011-05-19 19,中国,10,2577
2011-05-19 02,中国,10,30009
2011-05-19 00,中国,10,30897
2011-05-19 11,中国,10,30830
2011-05-19 01,中国,10,30015
2011-05-19 12,中国,47,30010
2011-05-19 20,中国,56,918
2011-05-19 03,中国,10,30010
2011-05-19 04,中国,10,30010
