Instrument;Type;"Und Type";Underlying;Expiry;Strike;Pos;ThVal;Delta;Gamma;Vega;"Val Group";"Calc Type";"DLL Version";"KVN";
cd0c95986c7b;Option;EquityIndex;fc1187a77e9d;"20.12.2017 17:30:00";;-5993;-159077;;;-4759;da526694dd77;0b5c9b88505f;"[5, 4, 0, 6]";480e6a654c19;
59aa58c1814c;Option;EquityIndex;176aa31a88f3;"27.09.2019 17:30:00";;-400;-38310;;;1023;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
92e84a418e77;Option;EquityIndex;6fb68af02b1c;"17.06.2015 17:30:00";;-149;-26045;;;65;da526694dd77;2025613b6030;"[5, 4, 0, 6]";480e6a654c19;
c0dd6c2414fc;Option;EquityIndex;6fb68af02b1c;"17.06.2015 17:30:00";;149;822;;;199;da526694dd77;2025613b6030;"[5, 4, 0, 6]";480e6a654c19;
cb0886e95887;Option;EquityIndex;7d22f30bc550;"01.07.2015 17:30:00";;-7;-1123;;;2;da526694dd77;2025613b6030;"[5, 4, 0, 6]";480e6a654c19;
e0a57d673830;Option;EquityIndex;7d22f30bc550;"01.07.2015 17:30:00";;7;29;;;4;da526694dd77;2025613b6030;"[5, 4, 0, 6]";480e6a654c19;
3fce0748028a;Option;EquityIndex;55c7fd32b6d8;"07.07.2014 17:30:00";;-2795;-300146;;;;d6a3737d0f1c;482e068cb5e6;"[5, 4, 0, 6]";3cf5fde9fad5;
ec36698760a8;Option;EquityIndex;7365b41ef462;"23.09.2014 17:35:00";0.00;578925;54710026;5796;;;db2633d571e0;;;;
8712f05eacaf;Warrant;EquityIndex;7365b41ef462;"23.09.2014 17:35:00";0.00;-212723;-20102917;-2130;;;db2633d571e0;;;;
7a14e41f57dc;Warrant;EquityIndex;7365b41ef462;"23.09.2014 17:35:00";0.00;-578925;-54710026;-5796;;;db2633d571e0;;;;
afc8634f143a;Option;EquityIndex;7365b41ef462;"23.09.2014 17:35:00";0.00;212723;20102917;2130;;;db2633d571e0;;;;
268dcb58a46f;Option;EquityIndex;7365b41ef462;"11.09.2015 17:30:00";0.00;2062;197476;21;;;db2633d571e0;;;;
de27d352a053;Warrant;EquityIndex;7365b41ef462;"11.09.2015 17:30:00";0.00;-2062;-197476;-21;;;db2633d571e0;;;;
cbcbfbe25235;Option;EquityIndex;9971ab0f054e;"04.04.2017 17:30:00";;;;;;;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
94472f4e2e4a;Option;EquityIndex;9971ab0f054e;"04.04.2017 17:30:00";;;;;;;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
138cf17dae53;Option;EquityIndex;2787d289cf17;"21.06.2017 17:30:00";;-759;-93416;;;-43;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
e9e11527db47;Option;EquityIndex;2787d289cf17;"21.06.2017 17:30:00";;759;2028;;;1709;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
2ba10f5cac42;Option;EquityIndex;22e79459f2eb;"14.04.2016 17:30:00";;-664;-122184;;;-3087;da526694dd77;8c402b55f89f;"[5, 4, 0, 6]";480e6a654c19;
0d6c5c9100bc;Option;EquityIndex;e45a65427e33;"27.05.2016 17:30:00";;-114;-22657;;;-549;da526694dd77;8c402b55f89f;"[5, 4, 0, 6]";480e6a654c19;
6f9e5e82447b;Option;EquityIndex;837aadb81754;"14.07.2014 21:00:00";;;;;;;da526694dd77;177abf6dd5ee;;;
47c2413c1657;Option;EquityIndex;a61e0ca85194;"14.07.2014 21:00:00";;-56745;-512425;;;-16535;da526694dd77;177abf6dd5ee;"[5, 4, 0, 6]";51c2aff98920;
a3e30f0f9108;Option;EquityIndex;ae2f996291f4;"29.05.2015 17:30:00";;-1645;-307430;;;2548;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
c665f3c193ed;Option;EquityIndex;14df500d78f3;"19.02.2018 17:30:00";;-1225;-191435;;;2526;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
2048e6c6bbaf;Option;EquityIndex;14df500d78f3;"19.02.2018 17:30:00";;1225;286799;;;15046;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
5b64c6503dd1;Option;EquityIndex;ce4c677edb15;"29.04.2016 17:30:00";;-4634;-297498;;;-4662;da526694dd77;f2be5d87b421;"[5, 4, 0, 6]";480e6a654c19;
54655b216f71;Option;EquityIndex;4f64f3ac5f8b;"03.07.2015 17:30:00";;;;;;;da526694dd77;f2be5d87b421;;;
353365d26111;Option;EquityIndex;1a563ada4c89;"03.07.2015 17:30:00";;-8469;-209832;;;-3011;da526694dd77;f2be5d87b421;"[5, 4, 0, 6]";480e6a654c19;
d9d7720ad4e4;Option;EquityIndex;347c474cfaa7;"30.03.2016 17:30:00";;-19899;-1473965;;;-18025;da526694dd77;f2be5d87b421;"[5, 4, 0, 6]";480e6a654c19;
f834f9d616af;Option;EquityIndex;89c8a2851d17;"27.06.2016 17:30:00";;-2213;-229651;;;-2537;da526694dd77;f2be5d87b421;"[5, 4, 0, 6]";480e6a654c19;
d04cb36e8d51;Option;EquityIndex;85ba81d66ef4;"24.06.2016 17:30:00";;-117;-25023;;;-570;da526694dd77;8c402b55f89f;"[5, 4, 0, 6]";480e6a654c19;
1f2961266202;Option;EquityIndex;faa3cfea3b42;"17.03.2017 17:30:00";;-383;-80188;;;-2217;da526694dd77;8c402b55f89f;"[5, 4, 0, 6]";480e6a654c19;
79b70fd03046;Option;EquityIndex;faa3cfea3b42;"17.03.2017 17:30:00";;383;17056;;;2050;da526694dd77;8c402b55f89f;"[5, 4, 0, 6]";480e6a654c19;
