*siteid    lat    long      area    elev   n     l1      t        t3      t4      t5
01578500 39.6900 76.1286   193.0      73  41   7379.95  0.4958  0.4844  0.3348  0.2101
01580000 39.6303 76.4036    94.4     250  65   4273.89  0.2878  0.3443  0.2431  0.0951
01582000 39.6044 76.6211    52.9     305  47   2725.96  0.3040  0.3009  0.2183  0.1027
01583000 39.4944 76.7958     2.0     420  34    186.09  0.3147  0.3548  0.2512  0.0736
01583500 39.5105 76.6769    59.8     262  47   3512.02  0.4872  0.5545  0.4564  0.4115
01584500 39.5050 76.4322    36.1     261  58   3559.83  0.3812  0.2951  0.1519  0.0307
01585100 39.3708 76.4461     7.6      38  30   1779.00  0.3992  0.3746  0.2912  0.1843
01585200 39.3736 76.5930     2.1     285  30    747.23  0.3555  0.2613  0.0717 -0.0712
01585300 39.3411 76.4880     4.4      21  29   1523.79  0.3218  0.2961  0.2835  0.2744
01585400 39.3336 76.4730     1.9      10  29    507.66  0.4746  0.5598  0.4086  0.3284
01585500 39.5930 76.9680     3.2     670  43    392.95  0.5376  0.4915  0.2311  0.1043
01586000 39.5000 76.8833    56.6     425  46   3401.70  0.4283  0.6113  0.5218  0.4068
01587500 39.3514 76.9139    64.4     289  32   4291.56  0.4874  0.5857  0.4366  0.2878
01588000 39.3819 76.9667    11.4     450  43   1185.53  0.5377  0.5678  0.4470  0.3535
01589100 39.2400 76.6925     2.4      45  32    742.44  0.2970  0.4479  0.3373  0.1841
01589300 39.3458 76.7336    32.5     361  33   2458.24  0.4945  0.5777  0.4162  0.3109
01589330 39.3111 76.7172     5.5     310  28   1940.04  0.3861  0.5167  0.3361  0.2000
01589440 39.3917 76.6617    25.2     240  31   1873.29  0.5978  0.7086  0.5486  0.3834
01591000 39.2383 77.0564    34.8     364  47   2827.72  0.5539  0.5942  0.4309  0.2827
01593500 39.1678 76.8519    38.0     260  59   1923.37  0.4134  0.4896  0.3047  0.1862
01613900 39.2144 78.2883    15.0     668  31   1015.77  0.3665  0.1977  0.1804  0.0736
01615000 39.1778 78.0722    57.4     503  48   2901.19  0.3939  0.4013  0.3245  0.1985
01616000 39.1778 78.0861    16.5     526  24    579.42  0.3297  0.2297  0.1262  0.0348
01620500 38.3375 79.2403    17.2    2054  45   1204.36  0.5448  0.5875  0.4250  0.3274
01621000 38.5028 79.0539    72.6    1606  30   3088.00  0.3934  0.5723  0.5101  0.4325
01621200 38.4744 78.9872     9.4    1349  28    700.89  0.3689  0.3675  0.3268  0.2441
01622000 38.3403 78.9139   379.0    1103  62  10619.03  0.4360  0.5363  0.4384  0.3285
01622400 38.1986 79.2194     0.4    1622  24     63.38  0.3511  0.4045  0.2726  0.2309
01624300 38.2433 79.0355   178.0    1260  19   6979.47  0.4645  0.5876  0.5897  0.5952
01624800 38.1283 78.9947    70.1    1230  23   2686.74  0.2224 -0.1796  0.1440  0.0904
01625000 38.2617 78.8622   375.0    1061  64   8202.77  0.4135  0.3727  0.2564  0.1686
01626000 38.0575 78.9083   127.0    1296  39   4110.49  0.4978  0.4996  0.2836  0.1281
01627500 38.2186 78.8369   212.0    1129  49   7392.90  0.4180  0.2837  0.1574  0.1244
01628500 38.3225 78.7550  1084.0    1013  61  22378.03  0.4097  0.4074  0.2402  0.0995
