"release","date","author","status","maturity","version","first","distribution","abstract"
"Locale-CLDR-Locales-Yav-v0.40.0-_1","2024-01-01T00:00:56","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Yav","Locale::CLDR - Data Package ( Perl localization data for Yangben )"
"Locale-CLDR-Locales-Yi-v0.40.0-_1","2024-01-01T00:00:57","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Yi","Locale::CLDR - Data Package ( Perl localization data for Yiddish )"
"Locale-CLDR-Locales-Yo-v0.40.0-_1","2024-01-01T00:02:23","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Yo","Locale::CLDR - Data Package ( Perl localization data for Yoruba )"
"Locale-CLDR-Locales-Yrl-v0.40.0-_1","2024-01-01T00:03:42","JGNI","cpan","released","v0.40.0","1","Locale-CLDR-Locales-Yrl","Locale::CLDR - Data Package ( Perl localization data for Nheengatu )"
"Game-Deckar-0.02","2024-01-01T00:03:53","JMATES","latest","released","0.02","","Game-Deckar","a module for wrangling decks of cards"
"Locale-CLDR-Locales-Yue-v0.40.0-_1","2024-01-01T00:05:19","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Yue","Locale::CLDR - Data Package ( Perl localization data for Cantonese )"
"Locale-CLDR-Locales-Zgh-v0.40.0-_1","2024-01-01T00:05:20","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Zgh","Locale::CLDR - Data Package ( Perl localization data for Standard Moroccan Tamazight )"
"Sah-Schemas-Re-0.004","2024-01-01T00:05:31","PERLANCAR","latest","released","0.004","","Sah-Schemas-Re","Various regular-expression schemas"
"Locale-CLDR-Locales-Zh-v0.40.0-_1","2024-01-01T00:06:52","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Zh","Locale::CLDR - Data Package ( Perl localization data for Chinese )"
"Locale-CLDR-Locales-Zu-v0.40.0-_1","2024-01-01T00:07:10","JGNI","cpan","released","v0.40.0","","Locale-CLDR-Locales-Zu","Locale::CLDR - Data Package ( Perl localization data for Zulu )"
