number,parameter,unit,price,note
1,Absorbsi air,per contoh,70000,khusus tepung agar
2,Bagian yang tidak larut dalam air,per contoh,60000,
3,Bahan asing / benda asing,per contoh,45000,
4,Daya tahan bihun,per contoh,40000,
5,Derajat brix,per contoh,45000,
6,Gum base,per contoh,75000,khusus kembang gula karet
7,Head space / ruang kosong makanan kaleng,per contoh,25000,
8,Keadaan / organoleptik,per contoh,30000,
9,Kebocoran kaleng dan kekeruhan,per contoh,20000,
10,Kehalusan / lolos ayakan mesh 200,per contoh,220000,khusus kakao bubuk
11,Kehalusan / lolos ayakan per mesh,per contoh,25000,
12,Kekentalan / viskositas (Engler),per contoh,60000,alat brookfield rusak
13,Kekeruhan / kejernihan pada gula,per contoh,135000,
14,Kelarutan dalam air,per contoh,40000,contoh makanan
15,Kelarutan dalam alkohol,per contoh,50000,
16,Kematangan,per contoh,35000,
17,Keutuhan (bahan),per contoh,30000,
18,Kotoran agar-agar,per contoh,100000,
19,Kotoran minyak,per contoh,150000,
20,Mikroskopik,per contoh,50000,"khusus : kopi, tepung, saus tomat, saus cabe"
21,Waktu pemasakan Mi Cepat Saji (Instant),per contoh,50000,
22,Logam Kalsium / CaO,per contoh,190000,khusus pupuk
23,Logam Kalium / K2O,per contoh,190000,khusus pupuk
24,Logam Magnesium / MgO,per contoh,190000,khusus pupuk
25,Logam Arsen (As),per contoh,160000,
26,Logam Barium (Ba),per contoh,120000,
27,Logam Besi (Fe),per contoh,120000,
28,Logam Kadmium (Cd),per contoh,80000,
29,Logam Kromium (Cr),per contoh,120000,
30,Logam Magnesium (Mg),per contoh,120000,
31,Logam Mangan (Mn),per contoh,120000,
32,Logam Nikel (Ni),per contoh,120000,
33,Logam Raksa (Hg),per contoh,110000,
34,Logam Seng (Zn),per contoh,80000,
35,Logam Tembaga (Cu),per contoh,80000,
36,Logam Timah (Sn),per contoh,200000,
37,Logam Timbal (Pb),per contoh,80000,
38,Logam Timbal (Pb) dan Kadmium (Cd) metode Grafit furnace : pengujian 1 jenis logam,per contoh,300000,"khusus : minyak / margarin / mentega, susu dan turunannya, gula kristal putih / rafinasi, bahan baku kembang gula / minuman"
39,Logam Timbal (Pb) dan Kadmium (Cd) metode Grafit furnace : pengujian dua jenis,Penambahan per jenis logam,120000,"khusus : minyak / margarin / mentega, susu dan turunannya, gula kristal putih / rafinasi, bahan baku kembang gula / minuman"
40,Logam Selenium (Se),per contoh,150000,
41,Uji Identifikasi Fe,per contoh,120000,hanya tepung terigu
42,Fosfor (P) / fosfat total,per contoh,225000,dalam makanan/pupuk
43,Fosfor larut dalam air,per contoh,225000,dalam makanan/pupuk
44,Fosfor larut dalam asam sitrat,per contoh,225000,dalam makanan/pupuk
45,Kalium (K),per contoh,120000,
46,Kalsium (Ca),per contoh,120000,
47,Natrium (Na),per contoh,120000,
48,Acesulfam K,per contoh,285000,
49,Aspartam,per contoh,285000,
50,Sakarin,per contoh,260000,
51,Sakarin (kualitatif),per contoh,100000,(positif / negatif)
52,Siklamat,per contoh,285000,
53,Siklamat (kualitatif),per contoh,110000,(positif / negatif)
54,Benzoat / Natrium benzoat / Asam benzoat,per contoh,260000,
55,Benzoat / Natrium benzoat / Asam benzoat (kualitatif),per contoh,190000,(positif / negatif)
56,Boraks / Asam borat (kualitatif),per contoh,85000,(positif / negatif)
57,Formaldehida / Formalin (kualitatif),per contoh,105000,(positif / negatif)
58,Nitrit (NO2),per contoh,120000,khusus daging / daging olahan
59,Sorbat / Kalium sorbat / Asam sorbat,per contoh,260000,
60,Sorbat / Kalium sorbat / Asam sorbat (kualitatif),per contoh,165000,(positif / negatif)
61,Sulfat pupuk / SO4 pupuk,per contoh,150000,
62,Methyl paraben,per contoh,260000,
63,SO2 / Sulfit,per contoh,150000,pangan dan gula
64,Asam folat / Vitamin B9,per contoh,325000,
65,Vitamin A,per contoh,365000,
66,Vitamin B1 (Thiamin),per contoh,260000,
67,Vitamin B2 (Riboflavin),per contoh,260000,
68,Vitamin B6 (Pyridoxine),per contoh,305000,
69,Vitamin C (Asam askorbat),per contoh,365000,
70,Vitamin D / D3,per contoh,600000,
71,Vitamin E (Tokoferol),per contoh,350000,
72,Beta karoten,per contoh,375000,
73,Total karoten / Total karotenoid metode spektro,per contoh,360000,
74,Vitamin B1 (Thiamin),per contoh,450000,"metode SNI 3751:2018, TIDAK BISA"
75,Vitamin B2 (Riboflavin),per contoh,450000,"metode SNI 3751:2018, TIDAK BISA"
76,Taurine,per contoh,450000,TIDAK BISA
77,B-Karoten (spektro),per contoh,370000,TIDAK BISA
78,"Aflatoksin B1, B2, G1, G2, total",per contoh,680000,
79,"Aflatoksin B1, B2, G1, G2, total (TLC)",per contoh,340000,
80,Aflatoksin M1,per contoh,1000000,khusus produk susu dan turunannya
81,DON,per contoh,1000000,
82,Okratoksin A,per contoh,800000,"khusus kopi instan dan produk tepung (t.terigu, t.tapioka, t.jagung, dll)"
83,3-MPCD,per contoh,1490000,TIDAK BISA
84,Poly Aromatic Hydrocarbon (PAH) GC MS,per contoh,1025000,TIDAK BISA
85,Uji Melamin,per contoh,1000000,TIDAK BISA
