class,description
1,"Bahan kimia yang digunakan dalam industri, ilmu pengetahuan dan fotografi, maupun dalam pertanian hortikultura dan kehutanan: damar buatan yang belum diproses, plastik yang belum diproses; pupuk, komposisi pemadam kebakaran: sediaan-sediaan mengeraskan dan memateri: zat kimia untuk mengawetkan bahan makanan: zat penyamakan; bahan perekat yang digunakan dalam industri."""
2,"Cat, pernis, lak; bahan pencegah karatan dan kelapukan kayu; bahan warna; bahan penyering; damar yang belum dioleh; logam dalam bentuk daun atau bubuk untuk keperluan melukis, dekorasi, mencetak untuk para airtis"
3,"Sediaan-sediaan untuk memutihkan dan mencuci; sediaan-sediaan untuk membersihkan, mengkilatkan, membuang lemak; sabun, wangi-wangian, minyak sari, kosmetik, minyak rambut; bahan-bahan pemeliharaan gigi"
4,"Minyak dan lemak untuk industri; bahan pelumur; zat untuk mengisap, membasahi dan mengikat debu, bahan bakar (termasik minyak sari untuk motor) dan bahan penerangan; lilin, sumbu"
5,"Sediaan farmasi dan kedokteran hewan, ilmu kebersihan untuk keperluan medis; zat makanan pantangan untuk diadaptasi untuk penggunaan medis dan kedokteran hewan, makanan bayi; suplemen pantangan untuk manusia dan hewan; plester, bahan pembalut; bahan untuk menambal gigi; pembuat gigi buatan; pembasi kuman; sediaan untuk membasmi binatang perusak; bahan pembasmi jamur; bahan pembasmi rumput liar."
6,"logam biasa dan campurannya; logam bahan bangunan; bangunan diangkut dari logam; bahan dari logam untuk rel kereta api; kabel non-listrik dan kabel dari logam biasa; barang besi, benda-benda kecil dari hardware logam; pipa dan tabung dari logam; brankas; barang dari logam biasa tidak termasuk dalam kelas-kelas lain; bijih."
7,"Mesin dan mesin perkakas; motor dan mesin (kecuali untuk kendaraan darat); Kopling mesin dan komponen transmisi (kecuali untuk kendaraan darat); alat pertanian selain yang dioperasikan secara manual;alat pengeram"
8,"Perkakas dan alat tangan (dioperasikan secara manual); pisau; pedang; pisau cukur."
9,"Pesawat dan perkakas ilmu pengetahuan, pelayaran, penelitian, listrik, potret, kinematografi, timbang, ukur, sinyal, pengawasan (pemeriksaan), pertolongan dan pendidikan, pesawat dan perkakas untuk melaksanakan, menukar, menjelmakan, mengumpulkan, mengatur atau mengontrol listrik; perkakas untuk merekan transmisi atau reproduksi suara tau gambar; pembawa data magnetic, cakram perekam; CD, DVD dan media merekam digital"
10,"Perkakas dan pesawat pembedahan, pengobatan, kedokteran, kedokteran gigi dan kedokteran hewan, lengan mata dan gigi palsu, barang-barang ortopedi, bahan-bahan benang bedah"
11,"Instalasi penerangan, pemanasan, penghasilan uap, pemasangan, pendinginan, pengeringan, penyegaran udara pembagian air dan instalsi kesehatan"
12,"Kendaraan; alat untuk bergerak di darat, udara atau air."
13,"Senjata api; amunisi dan proyektil; bahan peledak; kembang api"
14,"Logam mulia dan campurannya dan benda-benda yang dibuat dari bahan-bahan itu atau disepuh dengan bahan- bahan itu, tidak termasuk dalam kelas lain; perhiasan; batu berharga; jam dan pesawat pengukur waktu"
15,"Alat-alat Musik"
16,"Kertas, karton dan barang-barang terbuat dari bahan-bahan ini, tidak termasuk dalam kelas lain; barang cetakan, alat menjilid buku; alat tulis menulis; bahan perekat untuk keperluan tulis menulis atau rumah tangga; alat untuk kesenian, kuas untuk melukis; mesin tulis dan alat-alat kantor (kecuali perabot) alat-alat pendidikan dan pengajaran (kecuali perkakas); bahan-bahan plastik untuk kemasan (tidak termasuk dalam kelas lain); kartu main; huruf-huruf cetak; blok-blok cetak."
17,"Karet, getah perca, getah, asbes, mika dan barang dari bahan-bahan itu dan tidak termasuk dalam kelas lain; plastik dalam bentuk menonjol untuk digunakan dalam manufaktur; bahan-bahan yang dipakai untuk pengemasan, merapatkan dan untuk menyekat; tabung lentur bukan dari logam"
18,"Kulit dan kulit imitasi dan barang-barang dari bahan-bahan ini dan tidak termasuk dalam kelas lain; kulit binatang, kulit halus; koper dan tas, payung hujan, payu matahari dan tongkat; cambuk, pakaian kuda dan pelana"
19,"Bahan bagunan (bukan logam); pipa kaku bukan logam untuk bangunan; aspal, pek dan bitumen; bangunan yang dapat dipindahkan bukan dari logam; monuimen, bukan dari logam"
20,"Perabot rumah, kaca, bingkai; benda-benda (tidak termasuk dalam kelas lain) dari kayu, gabus, rumput, bambu, rotan, tanduk, tulang, gading, tulang ikan paus, kerang, amber, kulit mutiara, selloid dan dari bahan-bahan penggantinya, atau dari plastik"
21,"Perkakas rumah tangga atau dapur dan wadah kecil (bukan dari logam mulia atau bukan sepuhan logam mulia); sisir dan bunga karang; sikat (kecuali kuas melukis); bahan-bahan pembuatan sikat; perkakas dan alat untuk membersihkan; kulit besi untuk menggosok; kaca yang belum dikerjakan atau dikerjakan sebagian (kecuali kaca yang digunakan dalam gedung ); barang pecah belah, porselin dan barang-barang tembikar tidak termasuk dalam kelas lain."
22,"Tampar, tali, jala, renda, kere, kain terpal, layar, kantong, karung (tidak termasuk dalam kelas lain); bahan-bahan pengisi (kecuali dari karet atau plastik); serat kasar untuk pertenunan"
23,"Benang untuk tekstil"
24,"Tekstil dan barang-barang tekstil tidak termasuk dalam kelas lain; sepre dan taplak meja"
25,"Pakaian, alas kaki, tutup kepala"
26,"Kerawang dan sulaman, pita dan tali sepatu; kancing, kancing tekan, kait dan mata kait, peniti dan jarum; bunga buatan"
27,"Permadani, tikar, lanoleum dan bahan-bahan lain yang dipakai sebagai alas lantai; alat-alat dinding (kecuali tenunan)"
28,"Permainan serta alat-alatnya; alat-alat senam dan oari raga tidak termasuk dalam keas aui; perhiasan untuk pohon natal"
29,"Daging, ikan,unggas dan binatang buruan; sari daging; buah-buahan serta sayur-sayuran yang diawetkan, dibekukan, dikeringkan dan dimask; jeli, sele, saus buah-buahan; telur, susu dan produk susu; minyak dan lemak yang dapat dimakan."
30,"Kopi, teh, kakao, gula, beras, tapioka, sagu, bahan pengganti kopi; tepung dan sediaan terbuat dari gandum, roti, kueh dan kembang gula, es konsumsi; madu, sirup; ragi, bubuk untuk membuat roti; garam, mostar, cuka, saos; rempah-rempah; es."
31,"Padi-padian dan hasil-hasil pertanian, perkebunan, kehutanan dan jenis gandum yang tidak termasuk dalam kelas lain; hewan hidup; buah-buahan dan sayur-sayuran segar; benih-benih, tanaman dan bunga hidup; makanan untuk hewan, biji-bijian berkecambah untuk membuat bir"
32,"Bir; air mineral dan air soda dan minuman lain yang tidak beralkohol; minuman dan jus buah-buahan; sirop dan sediaan lain untuk membuat minuman"
33,"Minuman beralkohol (kecuali bir)"
34,"Tembakau; barang-barang keperluan perokok; geretan"
35,"Periklanan; manajemen usaha; administrasi usaha; fungsi kantor"
36,"Asuransi; urusan keuangan; urusan moneter; urusan real estate"
37,"Konstruksi bangunan; perbaikan; jasa instalasi"
38," Telekomunikasi"
39,"Transportasi; pengemasan dan penyimpanan barang; pengaturan perjalanan"
40,"Penanganan material"
41,"Pendidikan; penyediaan latihan; hiburan; kegiatan olah raga dan kesenian"
42,"Jasa penelitian dan tehnologi dan penelitian dan perancangn yang berhubungan dengannya; jasa penelitian dan analisis industri; perancangan dan pengembangan perangkat keras dan perangkat lunak komputer"
43,"Jasa untuk menyediakan makanan dan minuman; akomodasi sementara"
44,"Jasa medis; Jasa kehewanan; Perawatan kesehatan dan kecantikan untuk manusia atau hewan; Jasa pertanian, hortikultura dan hutan"
45,"Jasa hukum; jasa keamanan untuk perlindungan bangunan dan individu"
