Journal of Orofacial Orthopedics/Fortschritte der Kieferorthopädie	journal of orofacial orthopedics fortschritte der kieferorthopadie
Zeitschrift für Physik A Hadrons and Nuclei	zeitschrift fur physik a hadrons and nuclei
Standort - Zeitschrift für angewandte Geographie	standort zeitschrift fur angewandte geographie
Gynäkologische Endokrinologie	gynakologische endokrinologie
Operative Orthopädie und Traumatologie	operative orthopadie und traumatologie
Publications Mathématiques de L'IHÉS	publications mathematiques de lihes
Cahiers de géographie du Québec	cahiers de geographie du quebec
Cahiers québécois de démographie	cahiers quebecois de demographie
Études françaises	etudes francaises
Zeitschrift für Assyrologie und vorderasiatische Archäologie	zeitschrift fur assyrologie und vorderasiatische archaologie
Cerâmica	ceramica
Teología y vida	teologia y vida
Comunicación y Cultura	comunicacion y cultura
Comunicación, Lenguaje y Educación	comunicacion lenguaje y educacion
L'Actualité	lactualite
Zeitschrift für Ernährungswissenschaft	zeitschrift fur ernahrungswissenschaft
Ifo Dresden Berichtet; Über Konjunktur, Struktur, Wirtschaftspolitik	ifo dresden berichtet uber konjunktur struktur wirtschaftspolitik
Jahrbücher für Nationalökonomie und Statistik	jahrbucher fur nationalokonomie und statistik
Revue Française du Marketing	revue francaise du marketing
Sociétal; L'analyse trimestrielle des réalités économiques et sociales	societal lanalyse trimestrielle des realites economiques et sociales
Farándula Internacional	farandula internacional
Hématologie	hematologie
Archivo español de arqueología	archivo espanol de arqueologia
Archivo español de arte y arqueologia	archivo espanol de arte y arqueologia
Estudios geográficos	estudios geograficos
Estudios sefardíes	estudios sefardies
Isegoría	isegoria
Revista de filología española	revista de filologia espanola
Revue française de sociologie	revue francaise de sociologie
c't: magazin für computer technik	ct magazin fur computer technik
Cahiers de Nutrition et de Diététique	cahiers de nutrition et de dietetique
Écluse	ecluse
Danno e Responsabilità	danno e responsabilita
Gastroentérologie Clinique et Biologique	gastroenterologie clinique et biologique
Agronomía Costarricense	agronomia costarricense
Boletín de Antropología Americana	boletin de antropologia americana
Carta Económica Regional	carta economica regional
Confluencia: Revista Hispánica de Cultura y Literatura	confluencia revista hispanica de cultura y literatura
Cuadernos de Historia de España	cuadernos de historia de espana
Educación	educacion
Estudios Políticos	estudios politicos
Revue Finance, Contrôle, Stratégie : FCS	revue finance controle strategie fcs
Acta Pediátrica Costarricense	acta pediatrica costarricense
Archivos de la Sociedad Española de Oftalmología	archivos de la sociedad espanola de oftalmologia
Anais da Academia Brasileira de Ciências	anais da academia brasileira de ciencias
Ciência e Tecnologia de Alimentos	ciencia e tecnologia de alimentos
Ciência Rural	ciencia rural
Educação & Sociedade	educacao & sociedade
História, Ciências, Saúde-Manguinhos	historia ciencias saude manguinhos
Literatura y lingüística	literatura y linguistica
Opinião Pública	opiniao publica
Revista Brasileira de Ensino de Física	revista brasileira de ensino de fisica
Revista da Faculdade de Educação	revista da faculdade de educacao
Revista de Saúde Pública	revista de saude publica
Sba: Controle & Automação Sociedade Brasileira de Automatica	sba controle & automacao sociedade brasileira de automatica
Starch / Stärke	starch starke
NAN Nü	nan nu
Anuario filosófico	anuario filosofico
Enseñanza de las Ciencias - Revista de Investigación y Experiencias Didácticas	ensenanza de las ciencias revista de investigacion y experiencias didacticas
