name,DS100,"UIC (IBNR)",Latitude,Longitude
"Aachen Hbf",KA,8000001,50.7678,6.091499
"Aachen Schanz",KASZ,8070704,50.769862,6.07384
"Aachen West",KAW,8000404,50.78036,6.070715
"Aachen-Rothe Erde",KARE,8000406,50.770202,6.116475
"Aalen Hbf",TA,8000002,48.841013,10.096271
Aalten,ONAAL,8400045,51.921326524551,6.5786272287369
Aalter,XBAAL,8800300
Aarau,XSA,8502113,47.3913553368765,8.0512535427367
Aarburg-Oftringen,XSABO,8502000,47.3202667173669,7.90820373353681
Abcoude,ONAB,8400047,52.2785,4.977
Abenden,KAB,8007826,50.671085,6.476459
Abensberg,MABG,8000410,48.819456,11.84662
Achern,RAH,8000412,48.63399,8.065324
"Achern Stadt",RAHS,8007001,48.625736,8.067706
Achiet,XFAH,8700583
Achim,HACH,8000413,53.01599,9.030447
Achkarren,RAK,8007291,48.060088,7.60787
Achmer,HAMR,8000414,52.390479,7.94216
Achterwehr,AACW,8000416,54.314913,9.964024
Adelebsen,HADB,8000418,51.57769,9.760044
Adelschlag,MAD,8000419,48.840759,11.211443
Adelsdorf(Mittelfr),NADM,8000420,49.474944,10.687041
"Adelsheim Nord",RADN,8000423,49.42149,9.392754
"Adelsheim Ost",TAD,8000424,49.403123,9.395127
Adorf(Erzgeb),DADO,8011002,50.76385,12.873666
Adorf(Vogtl),DAD,8010001,50.323926,12.260789
Affaltrach,TAF,8000431,49.137832,9.379012
"Affoltern am Albis",XSAA,8502224,47.2760640739514,8.44658239142979
Agatharied,MAGD,8000433,47.765606,11.824472
Agathenburg,AABG,8000434,53.564111,9.531244
Agde,XFAG,8700145
Aglasterhausen,RAG,8007445,49.350097,8.990838
Aha,RA,8000436,47.833224,8.134349
Ahaus,EAHS,8000437,52.081681,7.016453
"Ahlbeck Grenze",WABG,8079084,53.921966,14.215549
"Ahlbeck Ostseetherme",WABO,8087025,53.944426,14.177287
Ahlen(Westf),EAHL,8000441,51.761062,7.895488
Ahlhorn,HAHO,8000442,52.899321,8.209429
Ahlten,HALT,8000443,52.376062,9.904613
"Ahnatal Casselbreite",FATC,8000457,51.36286,9.434061
Ahnatal-Heckershausen,FHEH,8002675,51.362991,9.422727
Ahnatal-Weimar,FWEI,8006286,51.363629,9.391588
Ahrbrück,KBRU,8001209,50.489679,6.972391
Ahrensburg,AAHR,8000446,53.669171,10.236206
Ahrensburg-Gartenholz,AAHG,8000480,53.688482,10.251786
Ahrensfelde,BAHR,8011003,52.571375,13.565154
"Ahrensfelde (S)",BAF,8089188
"Ahrensfelde Friedhof",BAFR,8011004,52.580882,13.573316
"Ahrensfelde Nord",BAFN,8011005,52.590685,13.581985
Ahrweiler,KAH,8000448,50.546544,7.107071
"Ahrweiler Markt",KAHM,8000449,50.544228,7.094229
Aich(Niederbay),MAIC,8000451,48.417315,12.398163
Aichach,MAI,8000452,48.461117,11.122721
Aichstetten,TAI,8000454,47.887884,10.07494
Aigle,XSAL,8501400,46.3168441199003,6.96368009360016
Aime-la-Plagne,XFAM,8700431
Aindorf,MAID,8072132,47.987042,12.357742
Ainring,MAIN,8000459,47.815033,12.964501
Airole,XIAE,8300358
Airolo,XSAI,8505201,46.5275264817373,8.60860513449754
"Aix-en-Provence TGV",XFAX,8704980
Aix-les-Bains-le-Revard,XFAI,8700048
Akkrum,ONAK,8400049,53.046390533447,5.843611240387
Alassio,XIAO,8300133
"Alba Iulia",XUAI,5300096
Albate-Camerlata,XIAT,8300950
Albbruck,RAL,8000463,47.592235,8.131774
Albenga,XIAB,8300132
Albersdorf,AAL,8000464,54.14632,9.292151
Albersweiler(Pfalz),RAR,8000466,49.21847,8.024464
Albertville,XFAL,8700128
"Albgaubad, Ettlingen",RETF,723571
Albig,FAG,8000468,49.771375,8.116579
Albisheim(Pfrimm),FALH,8070252,49.644776,8.096752
Albrechtshaus,LALB,8017000,51.642173,10.929267
Albrechtshof,BAS,8080040,52.549396,13.128917
Albshausen,FALS,8000471,50.545716,8.434869
Albsheim(Eis),RAM,8070096,49.580683,8.178998
Albstadt-Ebingen,TAE,8000473,48.21029,9.026962
"Albstadt-Ebingen West",TAEW,8079089,48.21139,8.99698
"Albstadt-Laufen Ort",TALO,8000474,48.222859,8.917316
Albstadt-Lautlingen,TALT,8000475,48.213638,8.95462
Aldekerk,KALK,8000477,51.435759,6.412542
"Aldingen(b Spaichingen)",TALD,8000481,48.095845,8.713033
Alençon,XFALN,8700141
Ales,XFALE,8700126
Aletshausen,MALH,8000482,48.201313,10.383631
Alexisbad,LAX,8017001,51.648132,11.115311
Alfeld(Leine),HALF,8000483,51.981417,9.817779
Alfhausen,HAHS,8000486,52.50347141,7.964338
Alfter-Impekoven,KALI,8000495,50.711016,7.019831
Alfter-Witterschlick,KWIS,8006516,50.689698,7.026083
Algermissen,HALG,8000488,52.25188,9.966472
Aligse,HALI,8000489,52.403462,9.979349
Alken(B),XBAE,8800225
Alkmaar,XNAL,8400050,52.63777923584,4.7397222518921
"Alkmaar Noord",ONALN,8400052,52.643890380859,4.7641668319702
Allendorf(Dillkr),FADD,8000492,50.743811,8.185486
"Allendorf(Eder) Bf",FALD,8000493
Allensbach,RAB,8000496,47.714464,9.068852
Allerheiligenhöfe,XAAH,8100548,47.269094693632,11.3533400318506
Allersberg(Rothsee),NALB,8000498,49.262131,11.212573
Allmendingen,TALL,8000499,48.327734,9.722382
Almelo,XNAO,8400051,52.358055114746,6.6538887023926
"Almelo de Riet",ONAOR,8400520,52.341945648193,6.6666665077209
"Almere Buiten",ONABU,8400081,52.394165039062,5.2780556678772
"Almere Centrum",ONA,8400080,52.37503,5.21764
"Almere Muziekwijk",ONAMU,8400082,52.367500305176,5.1902775764465
"Almere Oostvaarders",XNAOO,8400024,52.403331756592,5.3005557060242
"Almere Parkwijk",ONAPA,8479008,52.376667022705,5.244722366333
"Almere Poort",PNAP,8400450,52.342778,5.151944
Alpen,KALP,8000500,51.583392,6.518041
"Alphen aan den Rijn",XNAR,8400053,52.124443054199,4.6577777862549
Alpirsbach,RALP,8000501,48.343809,8.398251
"Alsdorf Poststraße",KADP,8000510,50.855749,6.197075
Alsdorf(Westerw),EGNP,8007078,50.78089,7.890486
Alsdorf-Annapark,KADA,8000502,50.870517,6.156661
Alsdorf-Busch,KADB,8000507,50.876588,6.140586
Alsdorf-Kellersberg,KKEL,8000521,50.867527,6.167354
Alsdorf-Mariadorf,KMAD,8000527,50.861978,6.188454
