use Unicode::Collate::CJK::JISX0208
overrideCJK Unicode::Collate::CJK::JISX0208::weightJISX0208
#katakana
30A1;<30A1>++++2
30A2;<30A2>++++2
30A3;<30A3>++++2
30A4;<30A4>++++2
30A5;<30A5>++++2
30A6;<30A6>++++2
30A7;<30A7>++++2
30A8;<30A8>++++2
30A9;<30A9>++++2
30AA;<30AA>++++2
30AB;<30AB>++++2
30AC;<30AB><3099>
30AD;<30AD>++++2
30AE;<30AD><3099>
30AF;<30AF>++++2
30B0;<30AF><3099>
30B1;<30B1>++++2
30B2;<30B1><3099>
30B3;<30B3>++++2
30B4;<30B3><3099>
30B5;<30B5>++++2
30B6;<30B5><3099>
30B7;<30B7>++++2
30B8;<30B7><3099>
30B9;<30B9>++++2
30BA;<30B9><3099>
30BB;<30BB>++++2
30BC;<30BB><3099>
30BD;<30BD>++++2
30BE;<30BD><3099>
30BF;<30BF>++++2
30C0;<30BF><3099>
30C1;<30C1>++++2
30C2;<30C1><3099>
30C3;<30C3>++++2
30C4;<30C4>++++2
30C5;<30C4><3099>
30C6;<30C6>++++2
30C7;<30C6><3099>
30C8;<30C8>++++2
30C9;<30C8><3099>
30CA;<30CA>++++2
30CB;<30CB>++++2
30CC;<30CC>++++2
30CD;<30CD>++++2
30CE;<30CE>++++2
30CF;<30CF>++++2
30D0;<30CF><3099>
30D1;<30CF><309A>
30D2;<30D2>++++2
30D3;<30D2><3099>
30D4;<30D2><309A>
30D5;<30D5>++++2
30D6;<30D5><3099>
30D7;<30D5><309A>
30D8;<30D8>++++2
30D9;<30D8><3099>
30DA;<30D8><309A>
30DB;<30DB>++++2
30DC;<30DB><3099>
30DD;<30DB><309A>
30DE;<30DE>++++2
30DF;<30DF>++++2
30E0;<30E0>++++2
30E1;<30E1>++++2
30E2;<30E2>++++2
30E3;<30E3>++++2
30E4;<30E4>++++2
30E5;<30E5>++++2
30E6;<30E6>++++2
30E7;<30E7>++++2
30E8;<30E8>++++2
30E9;<30E9>++++2
30EA;<30EA>++++2
30EB;<30EB>++++2
30EC;<30EC>++++2
30ED;<30ED>++++2
30EE;<30EE>++++2
30EF;<30EF>++++2
30F0;<30F0>++++2
30F1;<30F1>++++2
30F2;<30F2>++++2
30F3;<30F3>++++2
30F4;<30A6><3099>
30F5;<30F5>++++2
30F6;<30F6>++++2
30F7;<30EF><3099>
30F8;<30F0><3099>
30F9;<30F1><3099>
30FA;<30F2><3099>
30FD;<30FD>++++2
30FE;<30FD><3099>
#hiragana
3041;<30A1>----1
3042;<30A2>----1
3043;<30A3>----1
3044;<30A4>----1
3045;<30A5>----1
3046;<30A6>----1
3047;<30A7>----1
3048;<30A8>----1
3049;<30A9>----1
304A;<30AA>----1
304B;<30AB>----1
304C;<304B><3099>
304D;<30AD>----1
304E;<304D><3099>
304F;<30AF>----1
3050;<304F><3099>
3051;<30B1>----1
3052;<3051><3099>
3053;<30B3>----1
3054;<3053><3099>
3055;<30B5>----1
3056;<3055><3099>
3057;<30B7>----1
3058;<3057><3099>
3059;<30B9>----1
305A;<3059><3099>
305B;<30BB>----1
305C;<305B><3099>
305D;<30BD>----1
305E;<305D><3099>
305F;<30BF>----1
3060;<305F><3099>
3061;<30C1>----1
3062;<3061><3099>
3063;<30C3>----1
3064;<30C4>----1
3065;<3064><3099>
3066;<30C6>----1
3067;<3066><3099>
3068;<30C8>----1
3069;<3068><3099>
306A;<30CA>----1
306B;<30CB>----1
306C;<30CC>----1
306D;<30CD>----1
306E;<30CE>----1
306F;<30CF>----1
3070;<306F><3099>
3071;<306F><309A>
3072;<30D2>----1
3073;<3072><3099>
3074;<3072><309A>
3075;<30D5>----1
3076;<3075><3099>
3077;<3075><309A>
3078;<30D8>----1
3079;<3078><3099>
307A;<3078><309A>
307B;<30DB>----1
307C;<307B><3099>
307D;<307B><309A>
307E;<30DE>----1
307F;<30DF>----1
3080;<30E0>----1
3081;<30E1>----1
