1	2	etext90		The United States Bill of Rights
2	2	etext90		The United States Bill of Rights (HTML)
3	5	etext90		The Constitution of the United States of America, 1787
4	5	etext90		The Constitution of the United States of America, 1787 (HTML)
5	4	etext90	Abraham Lincoln	The Gettysburg Address
6	4	etext90	Abraham Lincoln	The Gettysburg Address (HTML)
7	3	etext90	John F. Kennedy	Inaugural Address, 1961
8	3	etext90	John F. Kennedy	Inaugural Address, 1961 (HTML)
9	10	etext90		The King James Version of the Bible
10	6	etext90	Patrick Henry	Give Me Liberty or Give Me Death
11	6	etext90	Patrick Henry	Give Me Liberty or Give Me Death (HTML)
12	9	etext90	Abraham Lincoln	First Inaugural Address
13	9	etext90	Abraham Lincoln	First Inaugural Address (HTML)
14	8	etext90	Abraham Lincoln	Second Inaugural Address
15	8	etext90	Abraham Lincoln	Second Inaugural Address (HTML)
16	7	etext90		The Mayflower Compact
17	7	etext90		The Mayflower Compact (HTML)
18	1	etext90	Thomas Jefferson	The Declaration of Independence
19	1	etext90	Thomas Jefferson	The Declaration of Independence (HTML)
20	21	etext91	Aesop	Fables - George Townsend Tr
21	21	etext91	Aesop	Fables - George Townsend Tr (HTML)
22	11	etext91	Lewis Carroll	Alice's Adventures in Wonderland
23	18	etext91	Alexander Hamilton	The Federalist Papers
24	19	etext91	Henry Wadsworth Longfellow	The Song of Hiawatha
25	19	etext91	Henry Wadsworth Longfellow	The Song of Hiawatha (HTML)
26	12	etext91	Lewis Carroll	Through the Looking Glass
27	12	etext91	Lewis Carroll	Through the Looking Glass (HTML)
28	15	etext91	Herman Melville	Moby Dick
29	17	etext91		The Book of Mormon
30	16	etext91	James M. Barrie	Peter Pan
31	20	etext91	John Milton	Paradise Lost
32	22	etext91		Roget's Thesaurus
33	13	etext91	Lewis Carroll	The Hunting of the Snark
34	14	etext91		The 1990 CIA World Factbook
35	39	etext92	Ed Krol	The Hitchhiker's Guide to the Internet
36	41	etext92	Washington Irving	The Legend of Sleepy Hollow
37	28	etext92	Aesop	Fables (Paperless Reader Club)
38	45	etext92	Lucy Maud Montgomery	Anne of Green Gables
39	47	etext92	Lucy Maud Montgomery	Anne of Avonlea
40	46	etext92	Charles Dickens	A Christmas Carol
41	27	etext92	Thomas Hardy	Far from the Madding Crowd
42	23	etext92	Frederick Douglass	Narrative of the Life of
43	32	etext92	Charlotte P. Gilman	Herland
44	42	etext92	Robert Louis Stevenson	The Strange Case of Dr. Jekyll and Mr. Hyde
45	43	etext92	Robert Louis Stevenson	The Strange Case of Dr. Jekyll and Mr. Hyde
46	38	etext92	Eric S. Raymond Ed.	The Hacker's Dictionary of Computer Jargon
47	0	etext92	O Henry	The Gift of the Magi
48	31	etext92	Sophocles	The Oedipus Trilogy
49	26	etext92	John Milton	Paradise Lost
