common_name,attribute_name,range
"Acer negundo",Edible,No
"Acer negundo",Habit,Unknown
"Acer negundo",Native,No
"Acer negundo","Sun tolerance",Unknown
"Aloha Dark Red",Edible,No
"Aloha Dark Red",Habit,Vine
"Aloha Dark Red",Native,Yes
"Aloha Dark Red","Sun tolerance",Unknown
"Aloha Regal Ruby",Edible,No
"Aloha Regal Ruby",Habit,Vine
"Aloha Regal Ruby",Native,Yes
"Aloha Regal Ruby","Sun tolerance",Unknown
Angela,Edible,No
Angela,Habit,Unknown
Angela,Native,No
Angela,"Sun tolerance",Unknown
"Princess Lily Louise",Edible,No
"Princess Lily Louise",Habit,Unknown
"Princess Lily Louise",Native,No
"Princess Lily Louise","Sun tolerance",Unknown
"Peruvian Lily",Edible,No
"Peruvian Lily",Habit,Unknown
"Peruvian Lily",Native,No
"Peruvian Lily","Sun tolerance",Unknown
"Pine Golden Pippin",Edible,Fruit
"Pine Golden Pippin",Habit,Semi-dwarf
"Pine Golden Pippin",Native,No
"Pine Golden Pippin","Sun tolerance",Unknown
"Pitmaston Pine",Edible,Fruit
"Pitmaston Pine",Habit,Semi-dwarf
"Pitmaston Pine",Native,No
"Pitmaston Pine","Sun tolerance",Unknown
"Apple 3",Edible,Fruit
"Apple 3",Habit,Tree
"Apple 3",Native,No
"Apple 3","Sun tolerance",Unknown
Pinkabelle®,Edible,Fruit
Pinkabelle®,Habit,Dwarf
Pinkabelle®,Native,Yes
Pinkabelle®,"Sun tolerance","Full sun"
Leprechaun,Edible,Fruit
Leprechaun,Habit,Dwarf
Leprechaun,Native,Yes
Leprechaun,"Sun tolerance","Full sun"
Pompink,Edible,Fruit
Pompink,Habit,Columnar
Pompink,Native,Yes
Pompink,"Sun tolerance","Full sun"
Harmony,Edible,Fruit
Harmony,Habit,Columnar
Harmony,Native,Yes
Harmony,"Sun tolerance","Full sun"
Pom-for-You,Edible,Fruit
Pom-for-You,Habit,Columnar
Pom-for-You,Native,Yes
Pom-for-You,"Sun tolerance","Full sun"
Columbine,Edible,No
Columbine,Habit,Unknown
Columbine,Native,No
Columbine,"Sun tolerance",Unknown
"Granny's Bonnet",Edible,No
"Granny's Bonnet",Habit,Unknown
"Granny's Bonnet",Native,No
"Granny's Bonnet","Sun tolerance",Unknown
"Asparagus Fern",Edible,No
"Asparagus Fern",Habit,Unknown
"Asparagus Fern",Native,No
"Asparagus Fern","Sun tolerance",Unknown
"Rosa Belton",Edible,No
"Rosa Belton",Habit,Unknown
"Rosa Belton",Native,No
"Rosa Belton","Sun tolerance",Unknown
"Azalea 2",Edible,No
"Azalea 2",Habit,Unknown
"Azalea 2",Native,No
"Azalea 2","Sun tolerance",Unknown
"Azalea 3",Edible,No
"Azalea 3",Habit,Unknown
"Azalea 3",Native,No
"Azalea 3","Sun tolerance",Unknown
"Cherry Candles",Edible,No
"Cherry Candles",Habit,Unknown
"Cherry Candles",Native,Yes
"Cherry Candles","Sun tolerance",Unknown
"Prostrate Banksia",Edible,No
"Prostrate Banksia",Habit,Unknown
"Prostrate Banksia",Native,Yes
"Prostrate Banksia","Sun tolerance",Unknown
"Genovese Basil",Edible,"Leaf, Stem"
"Genovese Basil",Habit,Shrub
"Genovese Basil",Native,No
"Genovese Basil","Sun tolerance","Full sun"
"African Basil",Edible,"Leaf, Stem"
