"name","property_name","garden_name","xy"
"Air Conditioner","Ron","Back","2,68 3,68"
"Bench","Ron","Front","8,24 9,25"
"Birdbath","Ron","Back","8,13"
"Brick drive","Ron","Back","27,63 27,64 27,65 27,66 27,67 27,68 28,63 28,64 28,65 28,66 28,68 29,63 29,64 29,65 29,66 29,67 29,68"
"Brick drive","Ron","Front","27,14 27,15 27,16 27,17 27,18 27,19 27,20 27,21 27,22 27,23 27,24 27,25 27,26 27,27 27,28 27,29 27,30 27,31 27,32 27,33 27,34 28,14 28,15 28,16 28,17 28,18 28,19 28,20 28,21 28,22 28,23 28,24 28,25 28,26 28,27 28,28 28,29 28,30 28,32 28,33 28,34 29,14 29,15 29,16 29,17 29,18 29,19 29,20 29,21 29,22 29,23 29,24 29,25 29,26 29,27 29,28 29,29 29,30 29,31 29,32 29,33 29,34"
"Brick fence","Ron","Back","1,62 1,63 1,64 1,65 1,66 1,67 1,68 2,64"
"Brick fence","Ron","Front","1,6 1,7 1,8 1,9 1,10 1,11 1,12 1,13 1,14 1,15 1,16 1,17 1,18 1,19 1,20 1,21 1,22 1,23 1,24 1,25 1,26 1,27 1,28 1,29 1,30 1,31 1,32 1,33 1,34 2,34 3,34 4,34 5,34 6,34 7,34 8,34 9,34 10,34 11,34 12,34 13,34 14,34 15,34 16,34 17,34 18,34 19,34 20,34 21,34 22,34 23,34 24,34 25,34"
"Brick path","Ron","Front","12,13 12,14 12,15 12,16 12,17 13,13 13,14 13,15 13,16 13,17 13,18 13,19 14,13 14,14 14,15 14,16 14,17 14,18 14,19 14,20 15,16 15,17 15,18 15,19 15,20 15,21 15,22 16,17 16,18 16,19 16,20 16,21 16,22 16,23 16,24 17,19 17,20 17,21 17,22 17,23 17,24 18,21 18,22 18,23 18,24 19,22 19,23 19,24 20,22 20,23 20,24 21,22 21,23 21,24 22,22 22,23 22,24 23,22 23,23 23,24 24,22 24,23 24,24 25,22 25,23 25,24 26,22 26,23 26,24 26,25"
"Brick patio","Ron","Back","2,32 2,33 2,34 3,32 3,34 4,32 4,33 4,34 4,63 4,64 4,65 4,66 4,67 4,68 5,63 5,64 5,65 5,66 5,67 5,68 6,63 6,65 6,66 6,67 6,68 7,63 7,64 7,65 7,66 7,67 7,68 8,63 8,64 8,65 8,66 8,67 8,68 9,63 9,64 9,66 9,67 9,68 10,63 10,64 10,65 10,66 10,67 10,68 11,63 11,64 11,65 11,67 11,68 12,63 12,64 12,67 12,68 13,63 13,64 13,65 13,66 13,67 13,68 14,63 14,64 14,65 14,66 14,67 14,68 15,63 15,64 15,65 15,66 15,67 15,68 16,63 16,64 16,65 16,66 16,67 16,68 17,63 17,64 17,65 17,66 17,67 17,68 18,63 19,63 22,63 23,63 26,63"
"Brick patio","Ron","Front","8,23 9,22 9,23 9,24 10,21 10,22 10,23 10,24 10,25 10,26 11,20 11,21 11,22 11,23 11,24 11,25 11,26 12,19 12,20 12,21 12,22 12,23 12,24 12,25 12,26 12,27 13,20 13,21 13,22 13,23 13,24 13,25 13,26 13,27 14,21 14,22 14,23 14,24 14,25 14,26 14,27 15,23 15,25 15,26"
"Brick steps","Ron","Front","11,6 11,7 11,8 11,9 12,6 12,7 12,8 12,9 13,6 13,7 13,8 13,9 14,6 14,8 14,9 11,10 11,11 11,12 12,10 12,11 12,12 13,10 13,11 13,12 14,10 14,11 14,12"
"Electricity meter","Ron","Front","14,7"
"Gas meter","Ron","Front","2,6"
"House","Ron","Back","1,69 2,69 3,69 4,69 5,69 6,69 7,69 8,69 9,69 10,69 11,69 12,69 13,69 14,69 15,69 16,69 17,69 18,64 18,65 18,66 18,67 18,68 18,69 19,64 20,64 21,64 22,64 23,64 24,64 25,64 26,64 26,65 26,66 26,67 26,68 26,69"
