aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
"Indian mallow, Velvetleaf","Chinese Lantern",,Plant,,,,,Abutilon.hybridum,2018-11-12,Yes,"Abutilon hybridum","<a href='http://savage.net.au/Flowers/Abutilon.hybridum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Abutilon.hybridum.0.jpg' alt = ""Abutilon hybridum""></a>",
"Bearsfoot, Oyster plant, Sea dock","Bears breeches",,Plant,,,,,Acanthus.mollis,2018-11-12,Yes,"Acanthus mollis","<a href='http://savage.net.au/Flowers/Acanthus.mollis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Acanthus.mollis.0.jpg' alt = ""Acanthus mollis""></a>",
"Ashleaf maple, Ash-leaved maple, Box elder, Boxelder maple, Maple ash, 'Variegatum'","Acer negundo",,Tree,,,,,Acer.negundo,2018-11-12,Yes,"Acer negundo","<a href='http://savage.net.au/Flowers/Acer.negundo.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Acer.negundo.0.jpg' alt = ""Acer negundo""></a>",
"Smooth Japanese maple, irohamomiji (イロハモミジ), or momiji (栴)","Japanese maple",,Tree,,,,,Acer.palmatum,2018-11-12,Yes,"Acer palmatum","<a href='http://savage.net.au/Flowers/Acer.palmatum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Acer.palmatum.0.jpg' alt = ""Acer palmatum""></a>",
"'Silver Silk'","Woolly Bush",,Tree,,,,,Adenanthos.sericeus,2018-11-12,Yes,"Adenanthos sericeus","<a href='http://savage.net.au/Flowers/Adenanthos.sericeus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Adenanthos.sericeus.0.jpg' alt = ""Adenanthos sericeus""></a>",
"Hummingbird mints, Giant hyssops","Sweet Lilli",1.1m,Plant,110,70,110,70,Agastache.aurantiaca,2018-11-12,Yes,"Agastache aurantiaca","<a href='http://savage.net.au/Flowers/Agastache.aurantiaca.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Agastache.aurantiaca.0.jpg' alt = ""Agastache aurantiaca""></a>",70cm
,"Chives 1",,Herb,,,,,Allium.schoenoprasum,2018-11-12,Yes,"Allium schoenoprasum","<a href='http://savage.net.au/Flowers/Allium.schoenoprasum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Allium.schoenoprasum.0.jpg' alt = ""Allium schoenoprasum""></a>",
"Asian chives, Chinese chives, Chinese leek, garlic chives, oriental garlic","Chives 2",60cm,Herb,60,,60,,Allium.tuberosum,2018-11-12,Yes,"Allium tuberosum","<a href='http://savage.net.au/Flowers/Allium.tuberosum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Allium.tuberosum.0.jpg' alt = ""Allium tuberosum""></a>",
,Angela,,Plant,,,,,Alstroemeria,2018-11-12,Yes,Alstroemeria,"<a href='http://savage.net.au/Flowers/Alstroemeria.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alstroemeria.1.0.jpg' alt = ""Angela""></a>",
,"Princess Lily Louise",,Plant,,,,,Alstroemeria,2018-11-12,Yes,Alstroemeria,"<a href='http://savage.net.au/Flowers/Alstroemeria.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alstroemeria.2.0.jpg' alt = ""Princess Lily Louise""></a>",
