kind,scientific_name,common_name,aliases,planted,thumbnail
Plant,"Abutilon hybridum","Chinese Lantern","Indian mallow, Velvetleaf",2018-11-12,"<a href='http://savage.net.au/Flowers/Abutilon.hybridum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Abutilon.hybridum.0.jpg' alt = ""Abutilon hybridum""></a>"
Plant,"Acanthus mollis","Bears breeches","Bearsfoot, Oyster plant, Sea dock",2018-11-12,"<a href='http://savage.net.au/Flowers/Acanthus.mollis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Acanthus.mollis.0.jpg' alt = ""Acanthus mollis""></a>"
Tree,"Acer negundo","Acer negundo","Ashleaf maple, Ash-leaved maple, Box elder, <br>Boxelder maple, Maple ash, 'Variegatum'",2018-11-12,"<a href='http://savage.net.au/Flowers/Acer.negundo.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Acer.negundo.0.jpg' alt = ""Acer negundo""></a>"
Tree,"Acer palmatum","Japanese maple","Smooth Japanese maple, irohamomiji, イロハモミジ, or momiji, (栴)",2018-11-12,"<a href='http://savage.net.au/Flowers/Acer.palmatum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Acer.palmatum.0.jpg' alt = ""Acer palmatum""></a>"
Tree,"Adenanthos sericeus","Woolly Bush","'Silver Silk'",2018-11-12,"<a href='http://savage.net.au/Flowers/Adenanthos.sericeus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Adenanthos.sericeus.0.jpg' alt = ""Adenanthos sericeus""></a>"
Plant,"Agastache aurantiaca","Sweet Lilli","Hummingbird mints, Giant hyssops",2018-11-12,"<a href='http://savage.net.au/Flowers/Agastache.aurantiaca.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Agastache.aurantiaca.0.jpg' alt = ""Agastache aurantiaca""></a>"
Herb,"Allium schoenoprasum","Chives 1",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Allium.schoenoprasum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Allium.schoenoprasum.0.jpg' alt = ""Allium schoenoprasum""></a>"
Herb,"Allium tuberosum","Chives 2","Asian chives, Chinese chives, Chinese leek, <br>garlic chives, oriental garlic",2018-11-12,"<a href='http://savage.net.au/Flowers/Allium.tuberosum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Allium.tuberosum.0.jpg' alt = ""Allium tuberosum""></a>"
Plant,"Alstroemeria 1",Angela,'Angela',2018-11-12,"<a href='http://savage.net.au/Flowers/Alstroemeria.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alstroemeria.1.0.jpg' alt = ""Alstroemeria 1""></a>"
Plant,"Alstroemeria 2","Princess Lily Louise","'Princess Lily Louise'",2018-11-12,"<a href='http://savage.net.au/Flowers/Alstroemeria.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alstroemeria.2.0.jpg' alt = ""Alstroemeria 2""></a>"
Plant,"Alstroemeria pulchella","Peruvian Lily",,2018-11-12,"<a href='http://savage.net.au/Flowers/Alstroemeria.pulchella.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alstroemeria.pulchella.0.jpg' alt = ""Alstroemeria pulchella""></a>"
Tree,"Alyogyne huegelii 1",Hibiscus,-,2018-11-12,"<a href='http://savage.net.au/Flowers/Alyogyne.huegelii.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alyogyne.huegelii.1.0.jpg' alt = ""Alyogyne huegelii 1""></a>"
Tree,"Alyogyne huegelii 2","West Coast Gem",,2018-11-12,"<a href='http://savage.net.au/Flowers/Alyogyne.huegelii.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Alyogyne.huegelii.2.0.jpg' alt = ""Alyogyne huegelii 2""></a>"
Plant,"Anigozanthos hybrid","Bush Pearl",,2018-11-12,"<a href='http://savage.net.au/Flowers/Anigozanthos.hybrid.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Anigozanthos.hybrid.0.jpg' alt = ""Anigozanthos hybrid""></a>"
Plant,"Anigozanthos hybrid Kangaroo Paw","Bush Crystal",,2018-11-12,"<a href='http://savage.net.au/Flowers/Anigozanthos.hybrid.kangaroo.paw.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Anigozanthos.hybrid.kangaroo.paw.0.jpg' alt = ""Anigozanthos hybrid Kangaroo Paw""></a>"
Plant,"Anigozanthos hybrid syn. Rambodiam","Bush Diamond",,2018-11-12,"<a href='http://savage.net.au/Flowers/Anigozanthos.hybrid.syn.rambodiam.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Anigozanthos.hybrid.syn.rambodiam.0.jpg' alt = ""Anigozanthos hybrid syn. Rambodiam""></a>"
Plant,"Anigozanthos hybrid syn. Rambubona Kangaroo Paw","Bush Bonanza",,2018-11-12,"<a href='http://savage.net.au/Flowers/Anigozanthos.hybrid.syn.rambubona.kangaroo.paw.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Anigozanthos.hybrid.syn.rambubona.kangaroo.paw.0.jpg' alt = ""Anigozanthos hybrid syn. Rambubona Kangaroo Paw""></a>"
Plant,"Anigozanthos viridis","Green Kangaroo Paw",-,2018-11-12,"<a href='http://savage.net.au/Flowers/Anigozanthos.viridis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Anigozanthos.viridis.0.jpg' alt = ""Anigozanthos viridis""></a>"
Plant,"Aquilegia flabellata var. pumila alba","Granny's Bonnet","Columbine, Granny's Bonnet",2018-11-12,"<a href='http://savage.net.au/Flowers/Aquilegia.flabellata.var.pumila.alba.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Aquilegia.flabellata.var.pumila.alba.0.jpg' alt = ""Aquilegia flabellata var. pumila alba""></a>"
Plant,"Aquilegia McKana",Columbine,,2018-11-12,"<a href='http://savage.net.au/Flowers/Aquilegia.mckana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Aquilegia.mckana.0.jpg' alt = ""Aquilegia McKana""></a>"
Herb,"Archillea millifolium",Yarrow,"Common yarrow",2018-11-12,"<a href='http://savage.net.au/Flowers/Archillea.millifolium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Archillea.millifolium.0.jpg' alt = ""Archillea millifolium""></a>"
Plant,Artemisia,Wormwood,"'Powis Castle'",2018-11-12,"<a href='http://savage.net.au/Flowers/Artemisia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Artemisia.0.jpg' alt = ""Artemisia""></a>"
Herb,"Artemisia vulgaris",Mugwort,"Chrysanthemum weed, common wormwood, <br>felon herb, naughty man, old man, <br>old Uncle Henry, riverside wormwood, <br>sailor's tobacco, St. John's plant",2018-11-12,"<a href='http://savage.net.au/Flowers/Artemisia.vulgaris.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Artemisia.vulgaris.0.jpg' alt = ""Artemisia vulgaris""></a>"
Plant,"Arum italicum","Arum italicum","Italian arum, Italian lords-and-ladies",2018-11-12,"<a href='http://savage.net.au/Flowers/Arum.italicum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Arum.italicum.0.jpg' alt = ""Arum italicum""></a>"
