common_name,url
"Acer negundo",https://en.wikipedia.org/wiki/Acer_negundo
"Aloha Dark Red",http://natureswonders.com.au
"Aloha Dark Red",https://en.wikipedia.org/wiki/Mandevilla
"Aloha Regal Ruby",http://natureswonders.com.au
"Aloha Regal Ruby",https://en.wikipedia.org/wiki/Mandevilla
Angela,http://ramm.com.au
"Princess Lily Louise",http://ramm.com.au
"Pine Golden Pippin",https://en.wikipedia.org/wiki/Cox%27s_Orange_Pippin
"Pine Golden Pippin",http://www.bernwodefruittrees.co.uk/descriptions/apple38.htm
"Pine Golden Pippin",http://www.orangepippin.com/apples/pine-golden-pippin
"Pine Golden Pippin",https://en.wikipedia.org/wiki/Malus
"Pitmaston Pine",http://www.bernwodefruittrees.co.uk/descriptions/apple38.htm
"Pitmaston Pine",http://www.orangepippin.com/apples/pitmaston-pineapple
"Pitmaston Pine",https://en.wikipedia.org/wiki/Malus
Pinkabelle®,http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4
Pinkabelle®,http://www.plantnet.com.au/pinkabelle-apple-tree/
Pinkabelle®,http://pinewoodnursery.com.au/
Pinkabelle®,https://en.wikipedia.org/wiki/Malus
Leprechaun,http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4
Leprechaun,http://www.plantnet.com.au/dwarf-granny-smith/
Leprechaun,http://pinewoodnursery.com.au/
Leprechaun,https://en.wikipedia.org/wiki/Malus
Pompink,http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4
Pompink,http://pinewoodnursery.com.au/
Pompink,https://en.wikipedia.org/wiki/Malus
Harmony,http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4
Harmony,http://pinewoodnursery.com.au/
Harmony,https://en.wikipedia.org/wiki/Malus
Pom-for-You,http://jftnurseries.com.au/index.php?option=com_content&view=article&id=4&Itemid=4
Pom-for-You,http://pinewoodnursery.com.au/
Pom-for-You,https://en.wikipedia.org/wiki/Malus
Columbine,https://en.wikipedia.org/wiki/Aquilegia
"Granny's Bonnet",https://en.wikipedia.org/wiki/Aquilegia
"Arum italicum",https://en.wikipedia.org/wiki/Arum_italicum
"Arum italicum",http://garden-photos-com.photoshelter.com/gallery/Arum-italicum-Stock-Photos/G0000fF3RKt2SiYg
"Asparagus Fern",https://en.wikipedia.org/wiki/Asparagus_fern
"Rosa Belton",https://en.wikipedia.org/wiki/Azalea
"Azalea 2",https://en.wikipedia.org/wiki/Azalea
"Azalea 3",https://en.wikipedia.org/wiki/Azalea
"Cherry Candles",http://austraflora.com/?s=Banksia+spinulosa
"Cherry Candles",https://en.wikipedia.org/wiki/Banksia_spinulosa
"Prostrate Banksia",https://en.wikipedia.org/wiki/Banksia_blechnifolia
"Genovese Basil",https://en.wikipedia.org/wiki/Basil
"Genovese Basil",http://scotsburn.biz
"African Basil",https://en.wikipedia.org/wiki/Basil
"African Basil",http://www.herbherbert.com
"African Basil",http://www.herbherbert.com/cgi-bin/pdf/basil_perennial.pdf
"Beacon Silver",https://en.wikipedia.org/wiki/Lamium
"Bears breeches",https://en.wikipedia.org/wiki/Acanthus_mollis
"Adriatic bellflower",https://en.wikipedia.org/wiki/Campanula
"Big Blue Lilyturf",https://en.wikipedia.org/wiki/Liriope_muscari
"Black Coral Pea",https://en.wikipedia.org/wiki/Kennedia_nigricans
"Blueberry Ash",http://warners.com.au
"Blueberry Ash",https://en.wikipedia.org/wiki/Elaeocarpus_reticulatus
"Blueberry Ash",http://pinewoodnursery.com.au/
Bottlebrush,https://en.wikipedia.org/wiki/Callistemon
Bracteantha,http://ballaustralia.com
"Butterfly Bush",https://en.wikipedia.org/wiki/Rotheca_myricoides
"Butterfly Iris",https://en.wikipedia.org/wiki/Dietes
Camellia,https://en.wikipedia.org/wiki/Camellia
Carnation,https://en.wikipedia.org/wiki/Dianthus
Celosia,https://en.wikipedia.org/wiki/Celosia_argentea
"Chilean Jasmine",https://en.wikipedia.org/wiki/Mandevilla_laxa
"Chinese fringe flower",http://pga.com.au
"Chinese fringe flower",https://en.wikipedia.org/wiki/Loropetalum_chinense
"Chinese fringe flower",http://floridata.com/Plants/Hamamelidaceae/Loropetalum%20chinense/201
"Chinese Lantern",https://en.wikipedia.org/wiki/Abutilon
"Chinese witch hazel",http://humphris.com.au
"Chives 1",https://en.wikipedia.org/wiki/Chives
"Chives 2",https://en.wikipedia.org/wiki/Allium_tuberosum
"Chocolate Lily",http://www.kuranga.com.au/
"Lisbon lemon",https://en.wikipedia.org/wiki/Lemon
"Meyer lemon",https://en.wikipedia.org/wiki/Lemon
"Tahiti Lime",https://en.wikipedia.org/wiki/Persian_lime
"Tahiti Lime",http://pipsqueak.net.au
"Washington Navel Orange",https://en.wikipedia.org/wiki/Orange_(fruit)
"Washington Navel Orange",http://pipsqueak.net.au
Coriander,https://en.wikipedia.org/wiki/Coriander
Coriander,http://scotsburn.biz
"Corn Salad",https://en.wikipedia.org/wiki/Valerianella_locusta
"Correa - Orange form",http://www.kuranga.com.au/
"Corymbia ficifolia",http://www.melissaking.com.au/king-single.asp?ID=440&CAT=53
"Crepe Myrtle",http://flemings.com.au
Crowea,https://en.wikipedia.org/wiki/Crowea_saligna
Crowea,http://tarrawood.com.au
Daphne,https://en.wikipedia.org/wiki/Daphne_bholua
Delphinium,https://en.wikipedia.org/wiki/Delphinium
"Dianella prunina",http://www.kuranga.com.au/
"Diplarrena latifolia",http://www.kuranga.com.au/
"Elephant bush",https://en.wikipedia.org/wiki/Portulacaria
Elephant-ear,https://en.wikipedia.org/wiki/Colocasia
Elephant-ear,https://en.wikipedia.org/wiki/Alocasia
"Eremorphila nivea",http://www.kuranga.com.au/
Eutaxia,https://en.wikipedia.org/wiki/Eutaxia_myrtifolia
Eutaxia,http://touchofclassplants.com
"False sarsaparilla",https://en.wikipedia.org/wiki/Hardenbergia_violacea
Fig,https://en.wikipedia.org/wiki/Common_fig
Firebird,https://en.wikipedia.org/wiki/Penstemon
"Heart-Leaf Flame Pea",https://en.wikipedia.org/wiki/Chorizema_cordatum
"Flame Pea",http://www.kuranga.com.au/
"Flame Pea",https://species.wikimedia.org/wiki/Chorizema_varium
"Forest Pansy",http://flemings.com.au
"Fountain Grass",https://en.wikipedia.org/wiki/Pennisetum_setaceum
Fuchsia,https://en.wikipedia.org/wiki/Fuchsia
"Garden heliotrope",https://en.wikipedia.org/wiki/Heliotropium_arborescens
Gazania,https://en.wikipedia.org/wiki/Gazania
"Glory Bush",https://en.wikipedia.org/wiki/Tibouchina
"Goji Berry Plant",http://www.touchofclassplants.com.au/products/lycium-barbarum-goji-berry-plant/
"Golden arum lily",https://en.wikipedia.org/wiki/Zantedeschia_elliottiana
'Goldfever',http://bywongnursery.com.au
'Goldfever',https://en.wikipedia.org/wiki/List_of_Grevillea_species
"Lady 'O'",https://en.wikipedia.org/wiki/List_of_Grevillea_species
"'Lemon Daze'",http://bywongnursery.com.au
"'Lemon Daze'",https://en.wikipedia.org/wiki/List_of_Grevillea_species
'Fireworks',http://bywongnursery.com.au/index35be.html?page=shop.product_details&flypage=shop.flypage&product_id=53&category_id=6&manufacturer_id=0&option=com_virtuemart&Itemid=28
'Fireworks',https://en.wikipedia.org/wiki/List_of_Grevillea_species
"'Honeyeater Heaven'",https://en.wikipedia.org/wiki/List_of_Grevillea_species
"Heavenly Bamboo",https://en.wikipedia.org/wiki/Nandina
"Christmas rose",https://en.wikipedia.org/wiki/Helleborus_argutifolius
"Hellebore 2",https://en.wikipedia.org/wiki/Helleborus_foetidus
'Obsidian',http://touchofclassplants.com
"Coral bells",http://touchofclassplants.com
"Climbing Guinea Flower",https://en.wikipedia.org/wiki/Hibbertia_scandens
"Hoary Guinea Flower",http://www.kuranga.com.au/
Hibiscus,https://en.wikipedia.org/wiki/Alyogyne
"West Coast Gem",http://www.kuranga.com.au/
"Himalayan Knotweed",https://en.wikipedia.org/wiki/Persicaria_wallichii
Honeysuckle,https://en.wikipedia.org/wiki/Lonicera_periclymenum
"Hummingbird Plant",https://en.wikipedia.org/wiki/Dicliptera
Hydrangea,https://en.wikipedia.org/wiki/Hydrangea
"Algerian Iris",https://en.wikipedia.org/wiki/Iris_(plant)
Iris,https://en.wikipedia.org/wiki/Iris_(plant)
"Isopogon latifolius",http://www.kuranga.com.au/
Ivy,https://en.wikipedia.org/wiki/Hedera
Ivy,https://en.wikipedia.org/wiki/List_of_plants_known_as_ivy
Jacaranda,https://en.wikipedia.org/wiki/Jacaranda_mimosifolia
"Japanese maple",https://en.wikipedia.org/wiki/Acer_palmatum
"Japanese Spiraea",https://en.wikipedia.org/wiki/Spiraea_japonica
"Bush Bonanza",http://bushgems.com.au
"Bush Bonanza",https://en.wikipedia.org/wiki/Anigozanthos
"Bush Crystal",http://bushgems.com.au
"Bush Crystal",https://en.wikipedia.org/wiki/Anigozanthos
"Bush Pearl",http://bushgems.com.au
"Bush Pearl",https://en.wikipedia.org/wiki/Anigozanthos
"Bush Diamond",http://bushgems.com.au
"Bush Diamond",https://en.wikipedia.org/wiki/Anigozanthos
Kunzea,https://en.wikipedia.org/wiki/Kunzea
"Land cress",https://en.wikipedia.org/wiki/Barbarea_verna
Lechenaultia,http://www.kuranga.com.au/
Lily,https://en.wikipedia.org/wiki/Lilium
