steam	noun	withdef.1	Pent-up anger.	https://en.wiktionary.org/wiki/steam
friend	noun	withdef.2	An object or idea that can be used for good.	https://en.wiktionary.org/wiki/friend
action	noun	withdef.3	sexual intercourse.	https://en.wiktionary.org/wiki/action
street	noun	withdef.4	Street talk or slang. 	https://en.wiktionary.org/wiki/street
crackberry	noun	withdef.5	A BlackBerry, a handheld device considered addictive for its networking capability.	https://en.wiktionary.org/wiki/crackberry
chowtime	noun	withdef.6	The time when food is eaten; a mealtime.	https://en.wiktionary.org/wiki/chowtime
maroon	noun	withdef.7	An idiot; a fool.	https://en.wiktionary.org/wiki/maroon
yapper	noun	withdef.8	One's mouth, especially of a gossipy person.	https://en.wiktionary.org/wiki/yapper
ladyboner	noun	withdef.9	An erect clitoris; by extension, a state of arousal or sexual desire in a woman.	https://en.wiktionary.org/wiki/ladyboner
juice	noun	withdef.10	Steroids.	https://en.wiktionary.org/wiki/juice
shine	noun	withdef.11	A liking for a person; a fancy.	https://en.wiktionary.org/wiki/shine
mojo	noun	withdef.12	Personal magnetism; charm.	https://en.wiktionary.org/wiki/mojo
shank	noun	withdef.13	An improvised stabbing weapon.	https://en.wiktionary.org/wiki/shank
beatdown	noun	withdef.14	a severe beating	https://en.wiktionary.org/wiki/beatdown
kegger	noun	withdef.15	A party at which beer is served from a keg.	https://en.wiktionary.org/wiki/kegger
assload	noun	withdef.16	A large amount.	https://en.wiktionary.org/wiki/assload
foodgasm	noun	withdef.17	A pleasurable sensation from eating food.	https://en.wiktionary.org/wiki/foodgasm
barfly	noun	withdef.18	a person who spends much time in a bar or similar drinking establishment	https://en.wiktionary.org/wiki/barfly
roofie	noun	withdef.19	The date rape drug flunitrazepam.	https://en.wiktionary.org/wiki/roofie
caboose	noun	withdef.20	buttocks.	https://en.wiktionary.org/wiki/caboose
swag	noun	withdef.21	Handouts, freebies, or giveaways, such as those handed out at conventions.	https://en.wiktionary.org/wiki/swag
crotch rocket	noun	withdef.22	A high-performance street motorcycle.	https://en.wiktionary.org/wiki/crotch_rocket
funny money	noun	withdef.23	Bills of any foreign currency or of counterfeit origin.	https://en.wiktionary.org/wiki/funny_money
paper	noun	withdef.24	money.	https://en.wiktionary.org/wiki/paper
purple drank	noun	withdef.25	A recreational drug based on cough syrup, popular in the hip-hop community in the southern United States.	https://en.wiktionary.org/wiki/purple_drank
merch	noun	withdef.26	merchandise.	https://en.wiktionary.org/wiki/merch
bruising	noun	withdef.27	A violent physical attack on a person.	https://en.wiktionary.org/wiki/bruising
wetware	noun	withdef.28	The human brain or mind, often specifically as a computing element. Adapted as a biological parallel to hardware and software. Common in the cyberspace genre of science fiction.	https://en.wiktionary.org/wiki/wetware
ice	noun	withdef.29	One or more diamonds.	https://en.wiktionary.org/wiki/ice
