node,neighbor,weight,is_directed
"1","2",0,0
"1","3",0,0
"1","4",0,0
"2","1",0,0
"2","23",0,0
"2","24",0,0
"3","1",0,0
"3","23",0,0
"3","24",0,0
"4","1",0,0
"4","21",0,0
"4","22",0,0
"5","6",0,0
"5","7",0,0
"5","8",0,0
"6","5",0,0
"6","15",0,0
"6","16",0,0
"7","5",0,0
"7","11",0,0
"7","12",0,0
"8","5",0,0
"8","11",0,0
"8","12",0,0
"9","13",0,0
"9","14",0,0
"9","23",0,0
"10","13",0,0
"10","14",0,0
"10","24",0,0
"11","7",0,0
"11","8",0,0
"11","20",0,0
"12","7",0,0
"12","8",0,0
"12","20",0,0
"13","9",0,0
"13","10",0,0
"13","18",0,0
"14","9",0,0
"14","10",0,0
"14","19",0,0
"15","6",0,0
"15","17",0,0
"15","18",0,0
"16","6",0,0
"16","17",0,0
"16","19",0,0
"17","15",0,0
"17","16",0,0
"17","21",0,0
"18","13",0,0
"18","15",0,0
"18","22",0,0
"19","14",0,0
"19","16",0,0
"19","22",0,0
"20","11",0,0
"20","12",0,0
"20","21",0,0
"21","4",0,0
"21","17",0,0
"21","20",0,0
"22","4",0,0
"22","18",0,0
"22","19",0,0
"23","2",0,0
"23","3",0,0
"23","9",0,0
"24","2",0,0
"24","3",0,0
"24","10",0,0
