node,neighbor,weight
ku2127,qw7129,18367
ku2127,av3691,8804
qw7129,ku2127,18367
qw7129,ab4430,28025
qw7129,mc7586,37732
qw7129,va4590,49864
jr3260,ab4430,2727
ab4430,jr3260,2727
ab4430,qw7129,28025
an9598,rq7973,91726
rq7973,an9598,91726
rq7973,wi3556,42223
rq7973,gj4637,21402
rq7973,up4448,42581
gq5140,mv3578,66035
gq5140,me5980,45365
mv3578,gq5140,66035
mv3578,ww4930,90665
wl6549,hz8571,39969
wl6549,dp3777,28344
wl6549,hf7327,12681
wl6549,sp4141,44638
hz8571,wl6549,39969
hz8571,um915,2851
hz8571,zu40,80597
dp3777,wl6549,28344
dp3777,yf1625,35520
ct5392,ec8966,5167
ct5392,vq7919,5099
ct5392,br1646,44866
ec8966,ct5392,5167
ec8966,zs9326,55614
ec8966,vb976,58642
au6261,kf9338,40906
au6261,ri2850,9125
kf9338,au6261,40906
kf9338,so2930,80754
bx5035,bt2471,82407
bx5035,ol4264,65076
bx5035,na1612,81134
bt2471,bx5035,82407
bt2471,jj2841,97567
hl9539,tj3099,47570
hl9539,db3649,78241
hl9539,hg1391,35093
tj3099,hl9539,47570
tj3099,qb5606,28581
tj3099,eo3673,1088
wd7809,if3534,34600
wd7809,jq1968,95938
wd7809,gc2999,63677
if3534,wd7809,34600
if3534,zq540,3059
if3534,hq3789,60016
if3534,hw6728,44112
if3534,an907,35907
le9485,ro9975,85717
le9485,wg2257,14976
le9485,jj2841,34559
le9485,ia7352,32507
ro9975,le9485,85717
ro9975,em813,3341
ek9426,nh3661,10348
nh3661,ek9426,10348
nh3661,yg9936,95624
nh3661,hm2591,52365
nh3661,dp9643,38908
cx1858,vs3883,2666
vs3883,cx1858,2666
vs3883,mb6433,26201
bt8746,nt3600,54838
bt8746,xh1372,19558
nt3600,bt8746,54838
nt3600,vy8156,98984
xh1372,bt8746,19558
xh1372,rb2461,63747
ux8420,xk3207,11121
ux8420,rp4236,80460
xk3207,ux8420,11121
xk3207,ta6070,34599
xk3207,uc2588,58256
xk3207,xk1903,7944
lj3544,lu5922,38378
lj3544,wo625,98863
lj3544,xf5754,4642
lu5922,lj3544,38378
lu5922,vb6221,11476
wo625,lj3544,98863
wo625,kx5077,63780
wo625,fm5578,72665
wo625,nw3870,61540
xm4254,lc3510,81541
xm4254,dt174,96179
lc3510,xm4254,81541
lc3510,zy5020,28544
lc3510,lk4277,19979
kx5077,ux7514,49766
kx5077,wo625,63780
kx5077,hk3891,79601
kx5077,jo508,99082
ux7514,kx5077,49766
ux7514,in3111,68847
ux7514,mf2208,63362
od6748,yc159,13325
yc159,od6748,13325
yc159,et7643,52399
qc4713,sg7259,64956
sg7259,qc4713,64956
sg7259,uz8261,13656
sg7259,kx6242,48185
sg2012,bp8167,94312
sg2012,no915,11638
sg2012,ia7352,75924
bp8167,sg2012,94312
bp8167,tx7277,631
bp8167,uv6937,73309
no915,sg2012,11638
no915,tc9225,80921
ia7352,sg2012,75924
ia7352,le9485,32507
ms7775,lx7445,94625
ms7775,hn6572,3700
ms7775,tl767,87966
lx7445,ms7775,94625
lx7445,wh2949,57608
lx7445,nm9144,84274
lx7445,rl105,18051
or2701,gh2056,7503
or2701,zk9456,90376
gh2056,or2701,7503
gh2056,eh4677,20502
gh2056,ps5462,35882
mc2732,qq4802,85855
mc2732,mw4543,54530
mc2732,zn3418,74104
qq4802,mc2732,85855
qq4802,tf8901,61097
ic679,sc2522,43295
ic679,tn2328,3149
ic679,kx1029,74723
ic679,oi8877,58825
sc2522,ic679,43295
sc2522,wz7370,90683
sc2522,cx8066,34875
cf6416,va2473,67380
cf6416,qu695,62236
cf6416,ih53,46672
va2473,cf6416,67380
va2473,ri2850,17677
nu3806,jj8979,18688
jj8979,nu3806,18688
jj8979,zy5020,5385
jj8979,ed3979,93355
oq5561,nh58,97416
oq5561,dr7261,82957
nh58,oq5561,97416
nh58,iz6513,21487
nh58,sp6004,14269
cg7395,xi1723,99058
cg7395,bh8411,32980
cg7395,ho8936,95643
cg7395,pt6581,79607
cg7395,vb5653,56557
cg7395,lz8456,53187
xi1723,cg7395,99058
xi1723,fo7766,53690
xi1723,ns3352,50807
xi1723,pg3996,8151
xi1723,mb6433,98629
bh8411,cg7395,32980
bh8411,sn5941,35224
bh8411,fk6703,35605
zq540,jy4521,4968
zq540,if3534,3059
zq540,bl4226,10554
zq540,kp8203,71653
zq540,wc365,80448
zq540,kj7196,78705
jy4521,zq540,4968
jy4521,vq6703,9473
jy4521,ux3772,26293
bl4226,zq540,10554
bl4226,rt4834,79866
kp8203,zq540,71653
wc365,zq540,80448
wc365,oy6252,4628
wc365,iz7076,92337
nz1160,nm9525,43282
nz1160,gv6153,86677
nm9525,nz1160,43282
nm9525,lk4277,2754
rz9324,tz4921,43186
rz9324,te5981,9780
tz4921,rz9324,43186
tz4921,qx5851,24310
ve9472,eu2400,30290
ve9472,kf1761,57601
ve9472,mv4074,71665
ve9472,fm3146,60951
ve9472,bb597,89518
eu2400,ve9472,30290
eu2400,mb6433,49090
eu2400,xh4387,58562
eu2400,aa8812,82087
eu2400,mf2208,39195
eu2400,qb5606,86296
kf1761,ve9472,57601
kf1761,ht1293,3528
kf1761,xb5652,48554
kf1761,hb4910,91604
kf1761,pw1793,52486
mv4074,ve9472,71665
mv4074,sh208,18921
mv4074,fd1906,70075
rh1213,yw3614,67712
rh1213,yv7503,34045
yw3614,rh1213,67712
yw3614,pf6298,53275
eb2757,vd307,27470
eb2757,pm8154,92289
vd307,eb2757,27470
vd307,ed7368,8744
vd307,qw4997,69132
vd307,pw903,82191
nm1276,zu7706,91776
nm1276,xx838,59684
zu7706,nm1276,91776
zu7706,ff5149,12688
zb6244,ml5556,30205
zb6244,al7883,11189
ml5556,zb6244,30205
ml5556,zt3852,97403
ml5556,me5980,80479
sz7410,ya7001,29324
ya7001,sz7410,29324
ya7001,zb50,90448
av8848,jw3377,48331
av8848,fq247,14703
av8848,ni3067,64365
jw3377,av8848,48331
jw3377,hl7792,8862
jw3377,ml5059,62626
au5087,vd5377,74513
au5087,en7082,60891
au5087,uw8745,83566
au5087,dj1731,89676
vd5377,au5087,74513
vd5377,eo4979,17072
vd5377,sq1639,96412
vd5377,gf2863,67551
sn5941,bh8411,35224
sn5941,at9419,39466
vq6703,jy4521,9473
vq6703,ma8824,85273
vq6703,xw6910,17889
vq6703,ik2620,26366
xx838,nm1276,59684
xx838,oc1456,24888
xh8901,rl105,52768
xh8901,xu460,69640
rl105,xh8901,52768
rl105,nn846,93644
rl105,qe8653,32596
rl105,lx7445,18051
px7161,ec6426,32457
ec6426,px7161,32457
ec6426,io4138,53252
ec6426,my1940,39649
aw5880,by1854,17579
by1854,aw5880,17579
by1854,ps7928,78806
pm9228,hu7964,79041
pm9228,uf4607,45235
hu7964,pm9228,79041
hu7964,fw843,53129
wa2376,gg8025,8405
wa2376,hw6485,37096
wa2376,tl767,27810
gg8025,wa2376,8405
gg8025,cv3683,28598
gg8025,mc1836,32549
oy7079,rt8310,8812
oy7079,la6634,37598
rt8310,oy7079,8812
rt8310,zp5727,42902
rt8310,yk9482,19964
rt8310,sf8066,9040
la6634,oy7079,37598
la6634,gs1436,96261
la6634,fu6446,2089
nl6874,oi8877,34691
nl6874,qj3284,59580
nl6874,xu460,30488
nl6874,dx6353,50007
nl6874,nt9684,95601
oi8877,nl6874,34691
oi8877,ic679,58825
oi8877,xc715,1066
qj3284,nl6874,59580
qj3284,pg4063,96010
qj3284,jq1968,92866
qj3284,dx6353,4464
qj3284,zk753,68777
qj3284,mj5047,85073
qj3284,kx3927,99843
xu460,nl6874,30488
xu460,ye4726,58804
xu460,xh8901,69640
yq3891,vx7915,55723
yq3891,vr2922,80219
vx7915,yq3891,55723
vx7915,jv5447,39062
vx7915,ob6455,51155
dr7261,oq5561,82957
dr7261,fs1885,39626
qg55,ui7758,76275
qg55,lp2431,22230
qg55,hg3643,61497
ui7758,qg55,76275
ui7758,ht8836,72328
ui7758,gs2349,47319
ue4071,xd6320,92828
xd6320,ue4071,92828
xd6320,ee7482,4674
xd6320,ju1757,39753
zw4333,tu8893,45385
zw4333,xr8357,85983
tu8893,zw4333,45385
tu8893,ww864,8518
tu8893,rn7649,42287
mb6433,eu2400,49090
mb6433,xi1723,98629
mb6433,vs3883,26201
gs2349,qo2414,86465
gs2349,ld9805,69455
gs2349,lb6880,37261
gs2349,ui7758,47319
qo2414,gs2349,86465
qo2414,hv3503,9762
qo2414,nk5506,81016
ld9805,gs2349,69455
ld9805,zk2743,69763
ld9805,ms5206,14685
ld9805,uz3350,19677
ld9805,gm6897,56161
lb6880,gs2349,37261
lb6880,sp4151,97668
lb6880,rh2574,80643
lb6880,xa516,17115
nw3870,km367,81306
nw3870,td7003,52961
nw3870,bt2991,44349
nw3870,ly7413,56428
nw3870,wo625,61540
nw3870,rz2345,23975
km367,nw3870,81306
km367,br1646,53720
xm7697,fv9649,5697
fv9649,xm7697,5697
fv9649,wg9253,8097
fv9649,wl1349,805
fv9649,kt8493,39272
ds2648,tw1797,76866
ds2648,zl5368,76571
tw1797,ds2648,76866
tw1797,by4783,94189
tw1797,ee5518,68238
uq8504,ml5059,25312
ml5059,uq8504,25312
ml5059,vb5653,95669
ml5059,rg2272,79268
ml5059,lc6883,1323
ml5059,jw3377,62626
vx1027,op4238,3124
vx1027,hg7148,8218
vx1027,ef2349,62913
vx1027,up1194,4467
op4238,vx1027,3124
op4238,xd8657,14721
op4238,qs3678,31540
hg7148,vx1027,8218
hg7148,ek9782,46892
zz686,el7904,76848
el7904,zz686,76848
el7904,ih1531,16263
el7904,qx5851,46007
vv3312,nf9889,58706
vv3312,iz7076,84792
vv3312,sx401,92473
vv3312,wb8562,7700
vv3312,ye4780,4965
nf9889,vv3312,58706
nf9889,iv8948,62034
tn2328,pw903,57954
tn2328,ic679,3149
tn2328,zb50,42320
pw903,tn2328,57954
pw903,vd307,82191
tp2216,pl5854,98987
tp2216,tv3267,13769
pl5854,tp2216,98987
pl5854,uu9134,79171
zt3852,qu695,83120
zt3852,ir5898,8825
zt3852,mi3095,1124
zt3852,ml5556,97403
qu695,zt3852,83120
qu695,cf6416,62236
qu695,rs5926,36906
um8218,dm1507,27281
dm1507,um8218,27281
