node,neighbor,weight
am3718,vj9307,21430
an3688,nr2297,40186
bs8927,yu5902,75956
bs8927,nr2297,35982
bs8927,jb5701,46215
bs8927,yu5902,75956
bt4888,lf2991,42369
bt4888,lv4411,13925
cr7531,xc9578,56532
cy5439,my4137,87565
cy5439,kg4166,79674
cy5439,fc9060,76858
da472,gs7946,96040
da472,ly7453,57445
fc9060,kq1653,5140
fc9060,cy5439,76858
fi4998,xp9164,23478
fi4998,hi5396,80415
fi4998,gl7784,36876
fi4998,qw7754,51751
fn135,sa1591,50595
fr3202,qc9454,21998
fr3202,rk7618,74124
fr3202,pb4824,20109
fv4507,qm9814,4712
fv4507,rk7618,14968
gl7784,qj9767,4220
gl7784,fi4998,36876
gs7946,da472,96040
gs7946,vj9307,53760
hi5396,fi4998,80415
hi5396,yl8502,71450
hi5396,zf6883,26135
is9454,pa3375,66100
jb5701,wh5997,14215
jb5701,xp9164,1991
jb5701,bs8927,46215
kg4166,yu5902,4814
kg4166,lv4411,50709
kg4166,qj9767,94441
kg4166,nr2297,90173
kg4166,cy5439,79674
kg4166,ky8701,6642
kh8290,qm7274,77319
kh8290,zf6883,74976
kq1653,oc9696,84670
kq1653,fc9060,5140
kq1653,nj6315,73034
kr4059,uc3987,39959
kr4059,yl8502,44244
kr4059,lf2991,89780
kv4941,wh5997,46886
kv4941,rr2851,35742
kw6581,yf7778,66837
kw6581,rm4034,99603
ky8701,kg4166,6642
ky8701,lv4411,26407
lf2991,yf7778,5245
lf2991,kr4059,89780
lf2991,bt4888,42369
lf2991,wh5997,76263
lv4411,kg4166,50709
lv4411,bt4888,13925
lv4411,xb4278,18712
lv4411,ky8701,26407
ly7453,da472,57445
ly7453,zf6883,19435
mb5499,pa3375,26704
mb5499,nj32,52632
my4137,cy5439,87565
my8558,yl8502,39743
my8558,qm9814,51497
nj32,mb5499,52632
nj6315,kq1653,73034
nm3498,yl8502,24681
nr2297,an3688,40186
nr2297,sc9595,87258
nr2297,rk7618,18011
nr2297,bs8927,35982
nr2297,kg4166,90173
oc9696,kq1653,84670
oc9696,qr6637,67021
pa3375,is9454,66100
pa3375,mb5499,26704
pb4824,xp9164,68056
pb4824,fr3202,20109
pb4824,xg5620,65383
qb9390,qc9454,41212
qc9454,qb9390,41212
qc9454,fr3202,21998
qc9454,xg5620,15265
qj9767,gl7784,4220
qj9767,kg4166,94441
qm7274,kh8290,77319
qm9814,rm4034,11064
qm9814,my8558,51497
qm9814,fv4507,4712
qr6637,yl8502,97068
qr6637,oc9696,67021
qt5403,xp9164,44270
qt5403,vj9307,89097
qt5403,xp9164,44270
qw7754,fi4998,51751
qw7754,rb8660,38326
qw7754,rb8660,38326
rb8660,xp9164,905
rb8660,xc9578,13945
rb8660,qw7754,38326
rb8660,qw7754,38326
rk7618,uc3987,31355
rk7618,nr2297,18011
rk7618,fv4507,14968
rk7618,fr3202,74124
rm4034,qm9814,11064
rm4034,sa1591,23843
rm4034,kw6581,99603
rr2851,kv4941,35742
rr2851,xc9578,90522
sa1591,rm4034,23843
sa1591,fn135,50595
sc9595,nr2297,87258
sc9595,zf6883,90438
sx6810,zf6883,53634
tf2708,yf7778,13103
uc3987,rk7618,31355
uc3987,kr4059,39959
vj9307,am3718,21430
vj9307,gs7946,53760
vj9307,qt5403,89097
wh5997,kv4941,46886
wh5997,lf2991,76263
wh5997,jb5701,14215
xb4278,lv4411,18712
xc9578,cr7531,56532
xc9578,rb8660,13945
xc9578,rr2851,90522
xg5620,pb4824,65383
xg5620,qc9454,15265
xp9164,pb4824,68056
xp9164,rb8660,905
xp9164,fi4998,23478
xp9164,qt5403,44270
xp9164,jb5701,1991
xp9164,qt5403,44270
yf7778,kw6581,66837
yf7778,lf2991,5245
yf7778,tf2708,13103
yl8502,my8558,39743
yl8502,qr6637,97068
yl8502,nm3498,24681
yl8502,kr4059,44244
yl8502,hi5396,71450
yu5902,bs8927,75956
yu5902,kg4166,4814
yu5902,bs8927,75956
zf6883,ly7453,19435
zf6883,sc9595,90438
zf6883,kh8290,74976
zf6883,sx6810,53634
zf6883,hi5396,26135
