node,neighbor,weight,is_directed
I_AM_A_TEST,abc123,12345,1
aa5526,qj8715,81867,1
aa5526,kd7521,70788,1
aa7488,en6739,73251,1
ab2663,am8999,72641,1
ab6138,wz89,92325,1
ab6696,za7130,34097,1
abc123,xyz789,1000000,1
ac4385,gr7482,88522,1
ad1933,ga363,34545,1
ad2659,pv9108,69890,1
ae6629,hw8049,8906,1
ae7762,xa2926,93542,1
af6452,mt5395,4283,1
af7227,qc9864,70663,1
af8483,lr6321,10197,1
af8685,ha6468,59661,1
ag219,sb2755,11938,1
ag6541,po826,14801,1
ah578,am2001,97018,1
ah9816,gh1974,10246,1
ah9816,ja8937,63419,1
ai2604,ac4385,79395,1
ai3597,tf7160,40583,1
aj6668,yn897,21056,1
aj6668,sz3375,98570,1
aj6668,ak3995,96814,1
aj8399,ho8889,34126,1
ak1942,ps279,83646,1
ak3995,ms1897,5821,1
al4834,lx7229,14348,1
al5273,sf7630,49857,1
al9996,rt3118,28359,1
am8582,gl6569,51591,1
am8999,ez3038,94730,1
am9250,du9333,77840,1
am9250,eg466,80714,1
an1126,ku6868,78772,1
an1380,iu9718,75496,1
an1433,gt6194,72155,1
an1769,yu3271,64995,1
an8047,uj4572,67089,1
an8047,cf4232,53758,1
ap8533,bj4573,16339,1
ap8533,eo4645,66563,1
aq2197,yr3971,94884,1
aq751,zy8014,10465,1
as9865,fm2896,81058,1
as9865,hf7865,34475,1
au5376,zg3474,74568,1
au6086,us7924,70411,1
av1928,yj120,52846,1
av4988,vb6410,34207,1
av6505,ev2673,37241,1
ax3262,fa6667,26187,1
ax5974,hn1857,94759,1
ax6712,gh3700,1845,1
ax6712,fm2896,3872,1
ay8436,lj5340,25956,1
az8949,kb3398,50194,1
az9452,xi1273,51557,1
ba1076,qj5852,52294,1
ba7002,nk5780,11369,1
ba8593,gb7738,39937,1
bb4399,zs315,34424,1
bc9782,wi4248,23506,1
bd3266,ko5383,74331,1
bd3266,lx7229,80157,1
bd3266,ag219,51727,1
bd3685,mx8288,55712,1
be2855,yh7346,29205,1
be5202,os9129,4227,1
bi1135,al9996,13315,1
bj1157,cw1865,96152,1
bj4573,go3567,36396,1
bj5574,fo9955,5757,1
bk1977,fl9137,41869,1
bl2875,cw8575,55703,1
bm2388,ai2604,4982,1
bm9021,kz416,6679,1
bn5386,pl2087,54749,1
bp4924,co2751,58242,1
bp6310,af6452,34775,1
bq3355,cl4666,84449,1
bq4916,qq7950,80559,1
br2750,zv4489,49507,1
br4169,xd1956,44100,1
br8053,ir8690,54121,1
bs7299,sh1936,11345,1
bt3358,tr5542,52497,1
bu6268,oc1962,51647,1
bu8243,xl3520,61747,1
bw8486,il4857,15145,1
by1560,fn8112,52505,1
by2303,lw1790,92048,1
by7671,iq1737,28465,1
by9903,ty8174,99176,1
bz3084,jr7046,58188,1
bz4097,br4169,67820,1
ca365,ai2604,49528,1
ca7064,ge9248,29444,1
cb3089,ji4048,42132,1
cb5019,cg2350,53598,1
cb7730,ci7077,9123,1
cb7730,yq2293,75169,1
cb7730,ty8174,66392,1
cb8778,yh7891,82784,1
cc107,um9215,36075,1
cc4390,sl9557,67546,1
ce8546,br8053,24186,1
cf2085,rh7841,90045,1
cf2085,fa9226,9727,1
cf4232,fm2937,70060,1
cf847,mc6696,35388,1
cf9413,pg5665,62707,1
cg2350,am9250,9672,1
cg2350,tx2972,5043,1
cg2727,sq1244,86761,1
cg9379,ba8593,24052,1
ch3522,rz1427,72569,1
ch3522,bu8243,80160,1
ch3540,eo4645,24626,1
ch3674,cn6814,75396,1
ch4132,xv431,30829,1
ci4571,zi5460,19596,1
ci7077,wl9487,49134,1
cj212,kz1471,97169,1
cj212,jc4599,89469,1
ck9957,hx535,19531,1
cl4666,yn4159,38044,1
cl6328,qu6077,8440,1
cm5831,to4725,93386,1
cm7567,tb6770,41020,1
cn6814,vn8495,97858,1
co1589,lj8599,16518,1
co3484,qj3208,57509,1
cp2105,do2461,18567,1
cp7693,gp6219,96150,1
cq2103,zw4850,23883,1
cr2559,qw199,97301,1
cs3137,cb3089,3493,1
ct7821,bq3355,40927,1
ct9088,dz9560,18466,1
ct9088,xh579,54400,1
ct9380,sh5843,97743,1
cu2057,nq7131,6553,1
cu8645,vq8313,59765,1
cw1865,aj8399,64874,1
cw8575,qv8322,18383,1
cx7736,yf7664,48747,1
cy9963,ip9817,2104,1
cy9963,wm7966,51593,1
da2184,xu9116,7375,1
da2184,tc6312,78079,1
da5738,bj5574,36101,1
da5738,ee8718,43612,1
da6144,no7744,89585,1
da6144,zs2857,66,1
da6822,wd4790,90795,1
da9126,vv8639,11627,1
db8372,cf9413,60488,1
db8372,ww6257,80183,1
db8372,nc3009,37657,1
db9017,bu8243,80704,1
dc4471,zl6735,92368,1
dc4471,pe986,96621,1
de1516,kr8325,98713,1
df291,dr7123,81715,1
dg183,bn5386,94128,1
dg278,gg4549,71837,1
dg3805,zw552,74436,1
dg8767,db8372,60645,1
dg8767,cl6328,82032,1
dh6179,ql8614,61685,1
dh6292,pj8868,83385,1
di1116,gf1051,11621,1
dj1525,fi3717,22131,1
dj1525,rh7841,1590,1
dj1525,iy5486,10245,1
dj5051,vi1095,61106,1
dk7172,hw3663,28258,1
dk7172,eo4645,41836,1
dk7172,xh579,92376,1
dk9026,lr6321,77683,1
dl3326,li2941,2879,1
dl3326,bb4399,75573,1
do2461,ae7762,76014,1
do9864,ni5973,96426,1
dp2791,gc2353,60397,1
dp5232,ad2659,91503,1
dr7123,hd9794,66265,1
dr7123,ml1519,36186,1
dr8474,to320,67436,1
ds5706,ob4148,79875,1
du5588,ml9925,47854,1
du9333,ee866,96278,1
du9333,gf1051,50948,1
du9333,ih1109,80156,1
dv302,ct9088,50945,1
dv69,oq4739,92749,1
dw1068,km9953,37374,1
dw5379,iz5137,42729,1
dx946,fq8417,36377,1
dy6025,op9414,83369,1
dy6813,dj5051,83910,1
dz9560,ny8128,73226,1
eb1392,gx6129,44190,1
eb5556,dl3326,75076,1
eb8528,yq2293,53600,1
eb8528,dv69,75313,1
ec6325,os841,47078,1
ed3528,az8949,4836,1
ee4360,al9996,40493,1
ee5887,bw8486,76333,1
ee866,di1116,12120,1
ee8718,cp7693,16044,1
ef2898,mm7669,29661,1
ef9405,dv302,83742,1
eg466,wl775,21348,1
eg5568,up2372,19281,1
ei4891,ag219,54289,1
ej2264,ct9380,12904,1
ej2264,an1769,31201,1
ej2264,fa6667,90488,1
ej2264,eo4645,77064,1
ej2264,qh7700,72161,1
ej2264,vi1095,85515,1
ej4624,tz8627,96067,1
ej9899,iw1181,43829,1
ej9899,uo207,88276,1
ek2379,bp4924,80622,1
ek3107,jz3478,26556,1
ek9758,gr7482,23518,1
el7405,tl5221,88069,1
en4744,bu6268,15403,1
en4744,ng5897,8652,1
en6478,uf7618,12643,1
en6739,ac4385,41887,1
eo4645,ek9758,23219,1
eo6154,rl8498,85213,1
eo6154,oj4290,33101,1
eo6154,hp4772,34997,1
eq1020,qj4166,19326,1
er2269,ko7382,11450,1
er6254,ab6696,24521,1
es5549,vw8603,19716,1
es5821,ru2710,93681,1
es9001,wh8909,26184,1
et4172,ly3244,35973,1
et4172,vs7884,48584,1
et9672,js2022,98458,1
et9714,jk2783,70083,1
eu5621,dp2791,61401,1
eu5621,ya1993,492,1
eu8387,nb4363,7866,1
ev2673,qb3153,80269,1
ev7156,hn1258,76148,1
ev7438,uo7526,70231,1
ev9478,qj4166,42896,1
ev9478,nc3009,26652,1
ev9478,pu5223,85461,1
ev9478,id2246,55917,1
ex3402,sp8200,82504,1
ey1167,ba8593,36819,1
ey1167,ze730,7544,1
ey1167,ku6868,2209,1
ey4446,ay8436,37473,1
ey6806,cg9379,17183,1
ez3038,wk556,36639,1
ez3768,ub8080,70535,1
ez5758,me587,34009,1
ez6005,vm2544,68959,1
ez6005,pi6808,66137,1
ez7339,dw1068,42061,1
fa4000,ko1404,47671,1
fa4000,py5960,31294,1
fa4000,nl8444,96361,1
fa6667,bi1135,4038,1
fa9226,fs1678,29163,1
fb7953,yu1185,18524,1
fb8743,am9250,59640,1
fc6266,li2819,18232,1
fc6975,iz5137,33798,1
fd3930,ac4385,74977,1
fd7575,uf3974,84285,1
fe8520,wb6513,39517,1
fe8520,ij9719,88226,1
ff3628,iy5486,524,1
ff3628,ey6806,25422,1
ff5084,mt5395,38600,1
fg2932,je481,27817,1
fg435,mr8801,2489,1
fg435,vj4187,8257,1
fg9261,hi7862,79231,1
fg9261,oq4739,34315,1
fh6470,gx8707,17137,1
fi3717,ud2185,28228,1
fi6314,zm5856,39392,1
fl9137,da9126,57738,1
fm2937,ig1186,22389,1
fn4060,zl6735,10122,1
fn8112,cq2103,67871,1
fo9955,wm8975,85009,1
fp1485,ik8473,82053,1
fp186,nh991,33167,1
fp7117,lk3965,19821,1
fp8345,kp4616,61711,1
fq8417,ku6868,48909,1
fq8417,en6478,110,1
fs1678,sl9557,1229,1
fs9188,rz6808,68485,1
fw3936,dg278,3095,1
fw5915,hd9794,22076,1
fw5991,cf8302,76479,1
fw9519,yf3798,10924,1
fx1944,mp4256,38579,1
fy3407,qs7978,25199,1
fy3407,ib346,5142,1
fy9878,xs769,50694,1
fz6157,fh6470,52525,1
fz6157,gh3700,93903,1
fz6281,tl3884,71426,1
ga363,fy9878,67835,1
gb5005,dl3326,76595,1
gb7738,gr7482,66165,1
gc2353,pm9063,68707,1
gc4059,ld3911,88886,1
ge5430,kc469,17973,1
ge5430,ax5974,68699,1
ge5430,ek9758,3007,1
ge5430,gh8537,7463,1
ge9248,tq1915,52870,1
gf1051,fw5991,88248,1
gf8270,zl6735,2892,1
gg4549,bt3358,7385,1
gg4549,xp7163,9356,1
gh1974,yf7664,45878,1
gh3700,zi5460,82533,1
gh3700,vv8639,66547,1
gh3700,ld3911,67165,1
gh8537,nf4116,60391,1
gh8969,wv6537,93207,1
gh8969,uf3974,84405,1
gi6177,vc3882,48715,1
gk1873,ih1109,71190,1
gk1873,kd3099,47584,1
gl1451,xi481,12979,1
gl1579,ml9925,1361,1
gl1579,vw9220,17692,1
gl43,tx3925,1351,1
gl43,ya1993,48649,1
gl6569,al9996,22350,1
go3567,da5738,25960,1
gp6219,uc4172,47144,1
gq4171,qx5035,86259,1
gq7277,ba1076,56726,1
gq7277,kr8325,93369,1
gq9738,nc6614,88173,1
gr7482,ru5298,69025,1
gr7636,vf5544,84118,1
gs13,hr6838,78307,1
gs3485,ah9816,48024,1
gt4224,rh8085,30378,1
gt6194,eb5556,3955,1
gt644,hf7865,58625,1
gt6790,xl5148,73806,1
gt770,rh7841,35573,1
gu107,dz5430,36013,1
gu7067,sq1244,91327,1
gw1396,ku6868,69222,1
gw1396,cu8645,77609,1
gw2756,id2246,85827,1
gx6129,au5376,21755,1
gx6129,mo7215,8631,1
gx8707,vw8603,51050,1
gy4436,qj5852,32177,1
gz7739,zp9578,36766,1
ha6468,mu5339,52100,1
hb9498,mg99,88417,1
hc1778,wq8539,31725,1
hd3519,qq6790,34949,1
hd9794,tl3748,42389,1
he1801,lu8310,27100,1
he1801,ez6005,13051,1
hf5622,gl1579,45917,1
hf7865,yt4224,40834,1
hg2554,af8685,21700,1
hg9218,cx1389,32146,1
hh3694,wy3029,14959,1
hi2760,ch3674,97413,1
hi7237,pa9457,58952,1
hi7862,pf4626,62220,1
hj2220,ab2663,36462,1
hj2957,iw2783,54091,1
hj2957,vp9205,92787,1
hl9325,fi6314,6560,1
hn1258,hy5003,18636,1
hn1258,ue1846,94089,1
hn1857,fc6975,87853,1
hn620,lj8599,30523,1
ho8889,hp4772,67607,1
hp4772,pc3078,8279,1
hr6838,sb9082,23392,1
hr6858,ax6712,98592,1
ht5456,xy9333,88413,1
ht5557,ev7438,87123,1
ht6599,vf5544,88457,1
hu2570,gq9738,71933,1
hu3627,tp8261,85432,1
hw3663,yy5441,90780,1
hw8049,ev9478,70085,1
hx535,mb5589,35497,1
hy6974,ei4891,48690,1
ia7391,re4383,11827,1
ib17,no1593,73129,1
ib346,iy7356,80882,1
ic5709,nb639,69059,1
id2246,bq3355,51960,1
id7901,mr8801,56008,1
id7901,kc4251,84232,1
if9352,kw2652,34396,1
ig1186,cf9413,19255,1
ih1109,rj7448,51657,1
ih9168,xa2926,12720,1
ih9168,am2001,80664,1
ij1263,bu8243,72184,1
ij9719,wl9487,38357,1
ik8246,oj4290,84652,1
ik8473,za7130,53458,1
il4857,hy6974,8986,1
il4857,tc4032,91911,1
il5903,xe1941,23712,1
il5903,ez7339,94910,1
il7963,aj8399,76438,1
io3587,he1801,71022,1
io4548,zs315,9291,1
ip1487,ev7156,26503,1
ip6127,no7744,29086,1
ip6127,yu1185,10649,1
ip9817,dy6025,10095,1
ip9817,jg8756,72386,1
iq1737,qh7700,32450,1
iq7681,zi5460,96929,1
iq8552,py2140,68296,1
ir8690,jx4652,53182,1
it68,af6452,46869,1
iu457,ad2659,85485,1
iu9718,av4988,8143,1
iv3701,jf1200,7493,1
iv6020,mk1312,45268,1
iv9978,ml9925,70876,1
iw1181,fs1678,40230,1
iw2783,iw5755,26111,1
iw5755,jv8570,60660,1
iw5755,xi5174,26967,1
iw5995,ns4533,53600,1
iw5995,oq4887,68495,1
iw5995,gk1873,72225,1
ix4745,zp1150,98965,1
iy5486,yt4224,34407,1
iy7356,tq1915,41132,1
iz5137,ty8174,80399,1
ja8937,hn1258,24420,1
jb2194,fw3936,27758,1
jb6258,oa2520,38885,1
jb735,lt612,60350,1
jb7755,gw1396,39222,1
jb7755,va5990,48735,1
jc3442,rw7023,30307,1
jc4599,yx7459,22824,1
jc4599,fz6281,75862,1
jc4599,by9903,84953,1
jc7295,ey6806,55559,1
jd1097,eq1020,48145,1
je481,iv9978,29728,1
je9993,al4834,75705,1
je9993,eg466,95053,1
jf1200,jf9552,66640,1
jf9552,mt5395,41116,1
jf9552,fb7953,93327,1
jg8756,xi5174,10884,1
ji4048,qb3153,11489,1
ji7472,me8562,55960,1
jj5282,zs315,79502,1
jj5282,ob4148,6352,1
jj5282,pv2476,64633,1
jj5282,ey4446,21840,1
jk2783,zy5145,74551,1
jk613,ej4624,97701,1
jk6502,rm4127,31991,1
