node,neighbor,weight,is_directed
"18","7",0,0
"18","13",0,0
"18","16",0,0
"1","8",0,0
"1","14",0,0
"1","16",0,0
"2","9",0,0
"2","10",0,0
"2","16",0,0
"3","9",0,0
"3","13",0,0
"3","17",0,0
"4","10",0,0
"4","12",0,0
"4","13",0,0
"5","11",0,0
"5","12",0,0
"5","17",0,0
"6","11",0,0
"6","15",0,0
"6","16",0,0
"7","18",0,0
"7","14",0,0
"7","15",0,0
"8","1",0,0
"8","15",0,0
"8","17",0,0
"9","2",0,0
"9","3",0,0
"9","12",0,0
"10","2",0,0
"10","4",0,0
"10","17",0,0
"11","5",0,0
"11","6",0,0
"11","14",0,0
"12","4",0,0
"12","5",0,0
"12","9",0,0
"13","4",0,0
"13","18",0,0
"13","3",0,0
"14","1",0,0
"14","7",0,0
"14","11",0,0
"15","6",0,0
"15","7",0,0
"15","8",0,0
"16","18",0,0
"16","1",0,0
"16","2",0,0
"16","6",0,0
"17","3",0,0
"17","8",0,0
"17","10",0,0
