node,neighbor,weight,is_directed
"1","2",0,0
"1","11",0,0
"1","12",0,0
"2","1",0,0
"2","11",0,0
"2","12",0,0
"3","4",0,0
"3","5",0,0
"3","7",0,0
"4","3",0,0
"4","6",0,0
"4","8",0,0
"5","3",0,0
"5","9",0,0
"5","11",0,0
"6","4",0,0
"6","10",0,0
"6","12",0,0
"7","3",0,0
"7","10",0,0
"7","12",0,0
"8","4",0,0
"8","9",0,0
"8","11",0,0
"9","5",0,0
"9","8",0,0
"9","10",0,0
"9","11",0,0
"10","6",0,0
"10","7",0,0
"10","9",0,0
"10","12",0,0
"11","1",0,0
"11","2",0,0
"11","5",0,0
"11","8",0,0
"11","9",0,0
"11","12",0,0
"12","1",0,0
"12","2",0,0
"12","6",0,0
"12","7",0,0
"12","10",0,0
"12","11",0,0
