node,neighbor,weight,is_directed
"1","2",0,0
"1","3",0,0
"1","4",0,0
"2","1",0,0
"2","89",0,0
"2","90",0,0
"3","1",0,0
"3","86",0,0
"3","88",0,0
"4","1",0,0
"4","85",0,0
"4","87",0,0
"5","6",0,0
"5","7",0,0
"5","66",0,0
"6","5",0,0
"6","55",0,0
"6","75",0,0
"7","5",0,0
"7","54",0,0
"7","74",0,0
"8","9",0,0
"8","10",0,0
"8","53",0,0
"9","8",0,0
"9","50",0,0
"9","52",0,0
"10","8",0,0
"10","49",0,0
"10","51",0,0
"11","12",0,0
"11","13",0,0
"11","48",0,0
"12","11",0,0
"12","41",0,0
"12","42",0,0
"13","11",0,0
"13","40",0,0
"13","43",0,0
"14","27",0,0
"14","28",0,0
"14","32",0,0
"15","16",0,0
"15","17",0,0
"15","22",0,0
"16","15",0,0
"16","21",0,0
"16","37",0,0
"17","15",0,0
"17","20",0,0
"17","38",0,0
"18","19",0,0
"18","33",0,0
"18","34",0,0
"19","18",0,0
"19","20",0,0
"19","21",0,0
"20","17",0,0
"20","19",0,0
"20","36",0,0
"21","16",0,0
"21","19",0,0
"21","35",0,0
"22","15",0,0
"22","23",0,0
"22","24",0,0
"23","22",0,0
"23","25",0,0
"23","28",0,0
"24","22",0,0
"24","26",0,0
"24","27",0,0
"25","23",0,0
"25","37",0,0
"25","62",0,0
"26","24",0,0
"26","38",0,0
"26","63",0,0
"27","14",0,0
"27","24",0,0
"27","59",0,0
"28","14",0,0
"28","23",0,0
"28","58",0,0
"29","56",0,0
"29","57",0,0
"29","82",0,0
"30","59",0,0
"30","61",0,0
"30","84",0,0
"31","58",0,0
"31","60",0,0
"31","83",0,0
"32","14",0,0
"32","60",0,0
"32","61",0,0
"33","18",0,0
"33","45",0,0
"33","57",0,0
"34","18",0,0
"34","44",0,0
"34","56",0,0
"35","21",0,0
"35","45",0,0
"35","47",0,0
"36","20",0,0
"36","44",0,0
"36","46",0,0
"37","16",0,0
"37","25",0,0
"37","42",0,0
"38","17",0,0
"38","26",0,0
"38","43",0,0
"39","40",0,0
"39","41",0,0
"39","73",0,0
"40","13",0,0
"40","39",0,0
"40","63",0,0
"41","12",0,0
"41","39",0,0
"41","62",0,0
"42","12",0,0
"42","37",0,0
"42","47",0,0
"43","13",0,0
"43","38",0,0
"43","46",0,0
"44","34",0,0
"44","36",0,0
"44","52",0,0
"45","33",0,0
"45","35",0,0
"45","51",0,0
"46","36",0,0
"46","43",0,0
"46","50",0,0
"47","35",0,0
"47","42",0,0
"47","49",0,0
"48","11",0,0
"48","49",0,0
"48","50",0,0
"49","10",0,0
"49","47",0,0
"49","48",0,0
"50","9",0,0
"50","46",0,0
"50","48",0,0
"51","10",0,0
"51","45",0,0
"51","65",0,0
"52","9",0,0
"52","44",0,0
"52","64",0,0
"53","8",0,0
"53","54",0,0
"53","55",0,0
"54","7",0,0
"54","53",0,0
"54","65",0,0
"55","6",0,0
"55","53",0,0
"55","64",0,0
"56","29",0,0
"56","34",0,0
"56","70",0,0
"57","29",0,0
"57","33",0,0
"57","69",0,0
"58","28",0,0
"58","31",0,0
"58","72",0,0
"59","27",0,0
"59","30",0,0
"59","71",0,0
"60","31",0,0
"60","32",0,0
"60","68",0,0
"61","30",0,0
"61","32",0,0
"61","67",0,0
"62","25",0,0
"62","41",0,0
"62","72",0,0
"63","26",0,0
"63","40",0,0
"63","71",0,0
"64","52",0,0
"64","55",0,0
"64","70",0,0
"65","51",0,0
"65","54",0,0
"65","69",0,0
"66","5",0,0
"66","67",0,0
"66","68",0,0
"67","61",0,0
"67","66",0,0
"67","81",0,0
"68","60",0,0
"68","66",0,0
"68","80",0,0
"69","57",0,0
"69","65",0,0
"69","77",0,0
"70","56",0,0
"70","64",0,0
"70","76",0,0
"71","59",0,0
"71","63",0,0
"71","79",0,0
"72","58",0,0
"72","62",0,0
"72","78",0,0
"73","39",0,0
"73","78",0,0
"73","79",0,0
"74","7",0,0
"74","77",0,0
"74","81",0,0
"75","6",0,0
"75","76",0,0
"75","80",0,0
"76","70",0,0
"76","75",0,0
"76","86",0,0
"77","69",0,0
"77","74",0,0
"77","85",0,0
"78","72",0,0
"78","73",0,0
"78","90",0,0
"79","71",0,0
"79","73",0,0
"79","89",0,0
"80","68",0,0
"80","75",0,0
"80","88",0,0
"81","67",0,0
"81","74",0,0
"81","87",0,0
"82","29",0,0
"82","85",0,0
"82","86",0,0
"83","31",0,0
"83","88",0,0
"83","90",0,0
"84","30",0,0
"84","87",0,0
"84","89",0,0
"85","4",0,0
"85","77",0,0
"85","82",0,0
"86","3",0,0
"86","76",0,0
"86","82",0,0
"87","4",0,0
"87","81",0,0
"87","84",0,0
"88","3",0,0
"88","80",0,0
"88","83",0,0
"89","2",0,0
"89","79",0,0
"89","84",0,0
"90","2",0,0
"90","78",0,0
"90","83",0,0
